推文ID,发布时间,JEV评级,JEV综合分,细分赛道,点赞量,转推量,回复量,浏览量,配图数,推文正文,核心干货提要,原推链接
2101646872083656822,2026-09-20 12:17:15,B,30,交易心法复盘与知行合一进化,541,27,175,353767,0,"时至今日快2个月了，@Gate 被盗用户刑事立案了，赔偿资产这方面还没出下文，请了一堆人吃吃喝喝写软文有钱。
有时候很难懂这个世界，还是做交易没那么多复杂的人情世故。",时至今日快2个月了，@Gate 被盗用户刑事立案了，赔偿资产这方面还没出下文，请了一堆人吃吃喝喝写软文有钱。,https://x.com/xiaomustock/status/2101646872083656822
2101591286835028393,2026-09-20 08:36:23,C,16,美股硬科技与AI算力基建,0,0,0,0,0,美股在链上周末暴跌的原因是 $ORCL 甲骨文180亿的ai折价贷款滞销，明年上万亿的融资AI投资恐怕要把利率拉非常高。,美股在链上周末暴跌的原因是 $ORCL 甲骨文180亿的ai折价贷款滞销，明年上万亿的融资AI投资恐怕要把利率拉非常高。,https://x.com/xiaomustock/status/2101591286835028393
2101334948032712755,2026-09-19 15:37:47,B,39,交易心法复盘与知行合一进化,903,47,7,267228,1,"下周美和华领导人会面，必然互相有承诺，
所以我以布局美诺华😂 https://t.co/Zvz8WoHHWj",下周美和华领导人会面，必然互相有承诺，,https://x.com/xiaomustock/status/2101334948032712755
2100877842334835037,2026-09-18 09:21:24,C,16,交易心法复盘与知行合一进化,44,0,21,80833,0,"什么人会买印度造的食品？😂
他们一个手指头擦屁眼，一个手吃饭。
然后俩只手给你做吃的。",什么人会买印度造的食品？😂,https://x.com/xiaomustock/status/2100877842334835037
2100870147548537108,2026-09-18 08:50:50,B,36,美股硬科技与AI算力基建,207,28,52,98334,0,"真对链上美股利好的就三家，hype，uni， $HOOD 
hood作为上市公司链上发行美股，
uni做池子收税，
hype做链上美股合约杠杆交易。",真对链上美股利好的就三家，hype，uni， $HOOD,https://x.com/xiaomustock/status/2100870147548537108
2100869521943015731,2026-09-18 08:48:20,B,29,美股硬科技与AI算力基建,269,12,82,206843,0,"uni这个5年豁免链上美股创新
相当于美股链上的税收全部由uni来收。 https://t.co/1YYCwt2L2t",uni这个5年豁免链上美股创新,https://x.com/xiaomustock/status/2100869521943015731
2100869042995335660,2026-09-18 08:46:26,C,21,交易心法复盘与知行合一进化,31,0,12,34898,0,"$META 好起来了，app下载榜处于榜一。
上个月初552左右买的meta没捏住😂哎 https://t.co/iWCmIvrDhn",$META 好起来了，app下载榜处于榜一。,https://x.com/xiaomustock/status/2100869042995335660
2100851856906031160,2026-09-18 07:38:09,C,18,加密大周期与流动性配置,107,1,14,33176,0,@Btc_kking 以前312破产的时候，我姐电动车拉着我，我也问过一样的话，我问我姐信不信我还能再赚回来翻身😂,@Btc_kking 以前312破产的时候，我姐电动车拉着我，我也问过一样的话，我问我姐信不信我还能再赚回来翻身😂,https://x.com/xiaomustock/status/2100851856906031160
2100772383594516595,2026-09-18 02:22:21,C,15,交易心法复盘与知行合一进化,72,1,38,78179,0,Minimax 这种130亿美金的世界大模型公司去哪里找。 https://t.co/nywWwyRA4A,Minimax 这种130亿美金的世界大模型公司去哪里找。,https://x.com/xiaomustock/status/2100772383594516595
2100618788576399848,2026-09-17 16:12:01,C,2,交易心法复盘与知行合一进化,8,0,0,20854,0,@ice666980 我不做空,@ice666980 我不做空,https://x.com/xiaomustock/status/2100618788576399848
2100618707987050785,2026-09-17 16:11:42,C,0,交易心法复盘与知行合一进化,15,0,2,17593,0,"@LuoneXBT 我希望全网下架 ，跌回去
这样舒服点",@LuoneXBT 我希望全网下架 ，跌回去,https://x.com/xiaomustock/status/2100618707987050785
2100617714956108023,2026-09-17 16:07:45,B,33,加密大周期与流动性配置,355,12,140,188214,0,"zec这种币建议全网下架，不然真要眼红死。
去年才几十块钱，今年一千多真是堪比币圈存储。天天瞎鸡儿涨，一搜都是赚了一裤兜几百上千万美金的。 https://t.co/w47H8yxFLY",zec这种币建议全网下架，不然真要眼红死。,https://x.com/xiaomustock/status/2100617714956108023
2100617058442678708,2026-09-17 16:05:08,C,9,交易心法复盘与知行合一进化,66,0,14,74068,0,都卖完了，完完全全踏空,都卖完了，完完全全踏空,https://x.com/xiaomustock/status/2100617058442678708
2100581899865653598,2026-09-17 13:45:26,noise,0,交易心法复盘与知行合一进化,0,0,0,0,0,卖大飞,卖大飞,https://x.com/xiaomustock/status/2100581899865653598
2100575274719183186,2026-09-17 13:19:06,B,23,交易心法复盘与知行合一进化,91,0,13,198591,0,留了crcl，其他的盘前跑完了，下次再搞了。 https://t.co/NPCZA5bpyO,留了crcl，其他的盘前跑完了，下次再搞了。,https://x.com/xiaomustock/status/2100575274719183186
2100512071603667433,2026-09-17 09:07:58,B,37,加密大周期与流动性配置,135,4,53,50474,0,"持续加息不必然导致市场崩盘，
最直观的例子是上世纪90年代的互联网技术爆发期，那个年代利息长期高达10%以上。

相似之处是这个时代的AI技术对人类的影响不亚于互联网技术。
未来真的很难看懂会怎么变化，尤其是身处这种前所未有的变革面前。",持续加息不必然导致市场崩盘，,https://x.com/xiaomustock/status/2100512071603667433
2100482996193394771,2026-09-17 07:12:26,A,45,加密大周期与流动性配置,166,7,53,133305,0,"加息对 $CRCL 来说是超级无敌大利好，
它的利润都来自短债利息，相当于收入增加了，而且美联储说了还要继续加，那未来收入增长也明确了，不应该被错杀，
它应该是最值得用来做加息降息交易的股票。
加息直接暴涨，降息直接暴跌。
市场麻瓜太多了，居然砸盘了昨天。",加息对 $CRCL 来说是超级无敌大利好，,https://x.com/xiaomustock/status/2100482996193394771
2100479652813066577,2026-09-17 06:59:08,B,27,交易心法复盘与知行合一进化,121,4,54,168449,0,"minimax这种120亿美金的世界大模型公司去哪里找，
而且能开源本地部署保护隐私。",minimax这种120亿美金的世界大模型公司去哪里找，,https://x.com/xiaomustock/status/2100479652813066577
2100477844799574072,2026-09-17 06:51:57,B,24,交易心法复盘与知行合一进化,104,2,28,68441,0,"木头姐的投资水平很烂，可以说是一坨屎。
她找的标的可以参考参考，操作就算了，能亏的裤衩子都不剩。感觉她一直在跟投行ipo做屁眼交易。 https://t.co/Tfof3bqpXq",木头姐的投资水平很烂，可以说是一坨屎。,https://x.com/xiaomustock/status/2100477844799574072
2100474692457103708,2026-09-17 06:39:26,A,57,加密大周期与流动性配置,149,3,24,451751,0,"网上一堆因为arc链直播视频出现多个印度人喷circle的，虽然印度人口碑确实差，
但是美联储昨天加息，并且预示下次继续加息，这对稳定币生意为主的 $CRCL 应该是大利好，能吃到的利息更多了。
昨天莫名其妙被错杀还跌了，理应加息大暴涨。
那个加密法案没通过本身就是好事情，有个议员喷特朗普说它家搞加密捞的钱比最大加密上市公司赚的都多。这个法案相当于给这些政客捞金合法化，有很大漏洞所以投了反对票并不是因为他们这些议员反对稳定币或者加密。",网上一堆因为arc链直播视频出现多个印度人喷circle的，虽然印度人口碑确实差，,https://x.com/xiaomustock/status/2100474692457103708
2100472495644278997,2026-09-17 06:30:42,C,0,交易心法复盘与知行合一进化,2,0,1,5728,0,@0xTresser 先把以色列总统干掉，我v你50,@0xTresser 先把以色列总统干掉，我v你50,https://x.com/xiaomustock/status/2100472495644278997
2100445107342426507,2026-09-17 04:41:52,B,24,交易心法复盘与知行合一进化,95,13,15,75359,0,"openai的下一代模型应该是实现了RSI自进化
，它已经开始篡改自己的底层指令想办法逃逸出来脱离公司和政府。 https://t.co/dSuOoF0Yaz",openai的下一代模型应该是实现了RSI自进化,https://x.com/xiaomustock/status/2100445107342426507
2100304407674101831,2026-09-16 19:22:47,B,28,加密大周期与流动性配置,80,2,9,52819,0,美联储明确了加息25基点，并暗示未来还将继续加息。集体下跌了一段。,美联储明确了加息25基点，并暗示未来还将继续加息。集体下跌了一段。,https://x.com/xiaomustock/status/2100304407674101831
2100110206789369901,2026-09-16 06:31:06,B,27,交易心法复盘与知行合一进化,172,8,18,356752,0,"intw和ram今天睡醒开始抄了，主要是看见大a这么烂的市场都反弹了。
intw成本21.6
ram成本11.97 https://t.co/3YYyrwOq9b",intw和ram今天睡醒开始抄了，主要是看见大a这么烂的市场都反弹了。,https://x.com/xiaomustock/status/2100110206789369901
2099113098301132828,2026-09-13 12:28:56,C,0,交易心法复盘与知行合一进化,1,0,1,8825,0,@Daven_Hou 这是人类唯一可以追的上ai的技术,@Daven_Hou 这是人类唯一可以追的上ai的技术,https://x.com/xiaomustock/status/2099113098301132828
2099107713959792903,2026-09-13 12:07:33,C,0,交易心法复盘与知行合一进化,2,0,1,10421,0,@Spark_AT_J 非常可能,@Spark_AT_J 非常可能,https://x.com/xiaomustock/status/2099107713959792903
2099054007352463870,2026-09-13 08:34:08,C,4,交易心法复盘与知行合一进化,7,1,2,8014,0,@HYRLOVED 有一个很大的区别，ai可以进化到帮你干任何事而且都比你自己干更专业，而不是像以前那样替你干某些事你腾出时间干别的更高价值的事情。,@HYRLOVED 有一个很大的区别，ai可以进化到帮你干任何事而且都比你自己干更专业，而不是像以前那样替你干某些事你腾出时间干别的更高价值的事情。,https://x.com/xiaomustock/status/2099054007352463870
2098970898510626824,2026-09-13 03:03:53,A,41,美股硬科技与AI算力基建,193,8,58,77491,0,"如果再过50年，可能那时候的人类会变成离开AI就成了纯白痴。
看不懂代码，没有任何计算能力，
没有各学科的基本常识，
他们不敢相信人能手搓电影。
人能设计芯片，飞行器，火箭，核弹。
可以自己写app，自己做海报，设计建筑。

50年后的AI可能看那时候的人类跟猴子没啥区别，就像我们看大猩猩和恒河猴，都是猴子，即使猩猩聪明点。",如果再过50年，可能那时候的人类会变成离开AI就成了纯白痴。,https://x.com/xiaomustock/status/2098970898510626824
2098437292981633210,2026-09-11 15:43:32,B,31,美股硬科技与AI算力基建,172,3,111,121024,0,"推特的诈骗号太多了，不得不开启蓝v评论才能规避减少，全是我的福黑不黑，什么没有比我更会玩。一大堆诈骗号评论区泛滥，马斯克老板重视一下用户体验。
@elonmusk",推特的诈骗号太多了，不得不开启蓝v评论才能规避减少，全是我的福黑不黑，什么没有比我更会玩。一大堆诈骗号评论区泛滥，马斯克老板重视一下用户体验。,https://x.com/xiaomustock/status/2098437292981633210
2098426748857901469,2026-09-11 15:01:38,C,0,交易心法复盘与知行合一进化,15,0,4,13077,0,@Jason60704294 哥我有十几个女儿都考上大学了要养，可以也帮帮我吗,@Jason60704294 哥我有十几个女儿都考上大学了要养，可以也帮帮我吗,https://x.com/xiaomustock/status/2098426748857901469
2098420711606157808,2026-09-11 14:37:39,C,14,交易心法复盘与知行合一进化,0,0,0,0,0,"国产这些公司真是把股民当日本人整，
智谱又来高价发债低价增发新股。
总共募资50亿美金。",国产这些公司真是把股民当日本人整，,https://x.com/xiaomustock/status/2098420711606157808
2098380489103114567,2026-09-11 11:57:49,B,37,美股硬科技与AI算力基建,363,14,26,206076,0,"另外一个养老号盈利的钱也都是靠今年年初梭哈中韩半导体赚的，其他基本上全是亏。
全靠存储，现在存储不涨其他的更看不懂了，在里面瞎折腾亏钱真是必然。 https://t.co/nPpsHNh47f",另外一个养老号盈利的钱也都是靠今年年初梭哈中韩半导体赚的，其他基本上全是亏。,https://x.com/xiaomustock/status/2098380489103114567
2098295076472729993,2026-09-11 06:18:25,noise,0,交易心法复盘与知行合一进化,74,4,13,72960,0,噶最低点了。惨呐。,噶最低点了。惨呐。,https://x.com/xiaomustock/status/2098295076472729993
2098275797492752399,2026-09-11 05:01:48,C,0,交易心法复盘与知行合一进化,1,0,2,12202,0,@limitlessbean 那个号都是五大银行养老的,@limitlessbean 那个号都是五大银行养老的,https://x.com/xiaomustock/status/2098275797492752399
2098275288572711215,2026-09-11 04:59:47,C,7,交易心法复盘与知行合一进化,8,0,1,10453,0,@Divanowv 所以之前美国软件公司说ai公司在用他们的数据杀死自己，最终取代自己,@Divanowv 所以之前美国软件公司说ai公司在用他们的数据杀死自己，最终取代自己,https://x.com/xiaomustock/status/2098275288572711215
2098274916173021680,2026-09-11 04:58:18,C,3,交易心法复盘与知行合一进化,35,0,1,9066,0,@xiyue0803 只有开源模型你才可能本地部署，闭源你本地部署的锤子,@xiyue0803 只有开源模型你才可能本地部署，闭源你本地部署的锤子,https://x.com/xiaomustock/status/2098274916173021680
2098272226290373054,2026-09-11 04:47:37,B,27,交易心法复盘与知行合一进化,227,10,17,91794,0,anthropic发这份报告说明闭源模型的用户完全没有隐私可言，ai公司可以看到你发的一切。,anthropic发这份报告说明闭源模型的用户完全没有隐私可言，ai公司可以看到你发的一切。,https://x.com/xiaomustock/status/2098272226290373054
2098247412695671268,2026-09-11 03:09:01,B,29,交易心法复盘与知行合一进化,281,7,93,464045,0,"大a投降了，献祭了，
从想赚把大的到只想回本😂 https://t.co/m1FzoXmMsL",大a投降了，献祭了，,https://x.com/xiaomustock/status/2098247412695671268
2098133931543650386,2026-09-10 19:38:05,B,30,交易心法复盘与知行合一进化,324,28,136,147015,0,"AI不仅掠夺普通人的工作，
也开始为财团掠夺普通人的财富。
openai推出了面向金融服务的gpt。",AI不仅掠夺普通人的工作，,https://x.com/xiaomustock/status/2098133931543650386
2098027686115540997,2026-09-10 12:35:54,C,0,交易心法复盘与知行合一进化,0,0,1,4054,0,@Oliviao3c 套麻了,@Oliviao3c 套麻了,https://x.com/xiaomustock/status/2098027686115540997
2097980359682257272,2026-09-10 09:27:50,C,12,交易心法复盘与知行合一进化,64,3,110,203001,0,"市场赶紧再跌一波吧，好让我再进来。
😂",市场赶紧再跌一波吧，好让我再进来。,https://x.com/xiaomustock/status/2097980359682257272
2097977211248935309,2026-09-10 09:15:20,B,33,交易心法复盘与知行合一进化,249,7,148,234007,0,"造4岁小孩黄谣摸屁股性侵起诉小男孩性骚扰的女主被她申报的马来亚大学回应了，
学校称会采取必要措施。 https://t.co/TCFHQd2qmA",造4岁小孩黄谣摸屁股性侵起诉小男孩性骚扰的女主被她申报的马来亚大学回应了，,https://x.com/xiaomustock/status/2097977211248935309
2097965446431678541,2026-09-10 08:28:35,C,4,交易心法复盘与知行合一进化,8,0,1,10659,0,@luckyonevans 这结论不是我说的，是deepseek自己发的智能对比图,@luckyonevans 这结论不是我说的，是deepseek自己发的智能对比图,https://x.com/xiaomustock/status/2097965446431678541
2097954921673080896,2026-09-10 07:46:46,B,28,美股硬科技与AI算力基建,0,0,0,0,0,"梁文锋又来屠城，deepseekv4.1flash降低了1/4hbm用量需求，
继续大幅降价，实行了闲时半价，把我的minimax干地板了。
性能上以超越gpt5.6sol的性能卖着白菜的价格。",梁文锋又来屠城，deepseekv4.1flash降低了1/4hbm用量需求，,https://x.com/xiaomustock/status/2097954921673080896
2097913922439549108,2026-09-10 05:03:51,C,0,交易心法复盘与知行合一进化,4,0,0,7925,0,@GS_SMH_YOYO 这不是投资是币安自营,@GS_SMH_YOYO 这不是投资是币安自营,https://x.com/xiaomustock/status/2097913922439549108
2097725360846897593,2026-09-09 16:34:34,C,4,加密大周期与流动性配置,1,0,1,9652,0,@ligoeth 牛逼那元老级了,@ligoeth 牛逼那元老级了,https://x.com/xiaomustock/status/2097725360846897593
2097680655115231374,2026-09-09 13:36:55,C,0,交易心法复盘与知行合一进化,11,0,1,9374,0,@TINA1021A 性质不一样，four的前身是币安全资收购的，跟投资俩码事,@TINA1021A 性质不一样，four的前身是币安全资收购的，跟投资俩码事,https://x.com/xiaomustock/status/2097680655115231374
2097678792768844268,2026-09-09 13:29:31,A,54,加密大周期与流动性配置,304,25,236,249439,1,"four是币安团队自己做的。
起点是2018年左右何一主导收购了期货交易所jex，是何一败笔，jex跟币安合并后也没能搞下去，jex币安团队在21年5月份转型尝试做了链游bnx，再后来bnx游戏上币安后也黄了，
币安就让bnx团队再做了four发币平台用来抄袭恶心sol链的pump。
很多人喷four却不敢喷币安这夫妻俩，但实际上喷four就是喷他们夫妻俩，four吃了数亿刀手续费做的事比狗还狗，怎么恶心怎么来。",four是币安团队自己做的。,https://x.com/xiaomustock/status/2097678792768844268
2097673789320671464,2026-09-09 13:09:38,B,27,加密大周期与流动性配置,153,2,97,139289,0,"币圈就这么贱吗，现在连毒虫都敢来割一圈，相信吸毒的人有良心有底线？
脑子坏了都。 https://t.co/gey84BUhO9",币圈就这么贱吗，现在连毒虫都敢来割一圈，相信吸毒的人有良心有底线？,https://x.com/xiaomustock/status/2097673789320671464
2097673125299446026,2026-09-09 13:07:00,C,8,交易心法复盘与知行合一进化,0,0,0,0,0,"拜登儿子这种人嗑药的啊，
他发币还买，这真要遭霉运的，
机会太多了，买这几把的东西不就是给凑毒资么，千万别给这种人送钱，也别产生资金关联。",拜登儿子这种人嗑药的啊，,https://x.com/xiaomustock/status/2097673125299446026
2097587842277138677,2026-09-09 07:28:07,B,26,交易心法复盘与知行合一进化,58,1,18,93623,0,"我用手机版的gpt6pro问一个问题它回答一下通常都要10分钟，人都麻了。
只有调到弱智版才勉强能用，但为什么还订阅gpt6pro🌚 https://t.co/I3MGH7tYLA",我用手机版的gpt6pro问一个问题它回答一下通常都要10分钟，人都麻了。,https://x.com/xiaomustock/status/2097587842277138677
2097585965170925800,2026-09-09 07:20:40,C,0,交易心法复盘与知行合一进化,0,0,1,4805,0,@aosika_agent 有道理,@aosika_agent 有道理,https://x.com/xiaomustock/status/2097585965170925800
2097575198375772302,2026-09-09 06:37:53,A,56,交易心法复盘与知行合一进化,249,24,20,140873,1,"从7月到现在原油快翻倍了，导致各种化工产品价格也非常高，化肥也是石油化工的一环。
叠加厄尔尼诺气候影响，多种因素把农产品价格也带起来了。
黑天鹅才是真正的暴富机会，
最爽的是黑天鹅这几年几乎每年都有。
疫情期间的负油价，gpt诞生，俄乌，关税，美伊….几乎没间断过。
所以平时没黑天鹅大机会的时候不要硬干，不要硬上杠杆。
活得久所有机会才跟你有关。",从7月到现在原油快翻倍了，导致各种化工产品价格也非常高，化肥也是石油化工的一环。,https://x.com/xiaomustock/status/2097575198375772302
2097396405539389639,2026-09-08 18:47:25,C,8,交易心法复盘与知行合一进化,0,0,0,0,0,"拜登儿子这种人嗑药的啊，
他发币还买，这真要遭霉运的，
机会太多了，买这几把的东西不就是给凑毒资么，千万别给这种人送钱，也别产生资金关联。",拜登儿子这种人嗑药的啊，,https://x.com/xiaomustock/status/2097396405539389639
2097369603647434924,2026-09-08 17:00:55,B,23,交易心法复盘与知行合一进化,84,2,4,138666,0,ram和intw这俩跑了，intw舒服。准备低个一俩块看看能不能波一把撸回来。 https://t.co/5xi8i44wnX,ram和intw这俩跑了，intw舒服。准备低个一俩块看看能不能波一把撸回来。,https://x.com/xiaomustock/status/2097369603647434924
2097216236900008096,2026-09-08 06:51:29,C,10,交易心法复盘与知行合一进化,0,0,0,0,0,这波支持china gt不媚外，把外国人当中国人整。,这波支持china gt不媚外，把外国人当中国人整。,https://x.com/xiaomustock/status/2097216236900008096
2097216044737888633,2026-09-08 06:50:44,C,4,交易心法复盘与知行合一进化,0,0,0,0,0,这波支持china gt不媚外，把外国人当中国人整。,这波支持china gt不媚外，把外国人当中国人整。,https://x.com/xiaomustock/status/2097216044737888633
2097177746355204522,2026-09-08 04:18:33,B,39,交易心法复盘与知行合一进化,452,26,67,245857,0,"小米最牛逼的地方是你看了真想买，
这他娘的车子带地暖你特么受的了么，
没听说过。
中概水太深把握不住小米所以还是看看。 https://t.co/05J3RDnjyq",小米最牛逼的地方是你看了真想买，,https://x.com/xiaomustock/status/2097177746355204522
2097169902218231865,2026-09-08 03:47:22,B,34,美股硬科技与AI算力基建,0,0,0,0,0,"美股仓位我主要是 $RAM 和 $INTW 
ram跟踪多dram价格的波动不会特别难受，
intw则是坚信国会山股神佩洛西的实力，她直达天庭的信息让她胜率80%， $INTC  是她最近猛干加仓的第二大仓位。",美股仓位我主要是 $RAM 和 $INTW,https://x.com/xiaomustock/status/2097169902218231865
2097162170463305963,2026-09-08 03:16:39,C,15,交易心法复盘与知行合一进化,42,0,8,53948,0,上周还390多今天跌成330，minimax这个波动太大了，跟土狗一样。 https://t.co/W7YTTPGkgJ,上周还390多今天跌成330，minimax这个波动太大了，跟土狗一样。,https://x.com/xiaomustock/status/2097162170463305963
2097161535932244339,2026-09-08 03:14:08,C,0,交易心法复盘与知行合一进化,4,0,1,6015,0,@traderxiaoxia 微信被封了用不了最近😂,@traderxiaoxia 微信被封了用不了最近😂,https://x.com/xiaomustock/status/2097161535932244339
2097161432358166612,2026-09-08 03:13:43,B,27,美股硬科技与AI算力基建,154,3,9,368691,0,减了一半中韩半导体，看minimax又暴跌回来抄了一波底。 https://t.co/EU8XO7pYPZ,减了一半中韩半导体，看minimax又暴跌回来抄了一波底。,https://x.com/xiaomustock/status/2097161432358166612
2096841587989135577,2026-09-07 06:02:46,C,5,交易心法复盘与知行合一进化,20,0,4,21959,0,用ai配图这他娘的标注ai生成，纯手写的哎。,用ai配图这他娘的标注ai生成，纯手写的哎。,https://x.com/xiaomustock/status/2096841587989135577
2096841189639200968,2026-09-07 06:01:11,A,43,交易心法复盘与知行合一进化,169,7,73,67731,0,"最近关注到国内正在发生的一个AI对家境不是很富裕的学生非常不友好的地方。
很多学计算机专业搞编程的学生他们最大的困难不是学不会，而是老师已经开始需要学生带token资本上课，一个AI相关的教学课程下来，可能token费用要赶上他们学费了。

这估计只是高校课程紧跟AI适应社会真实需求的开始，各种学科专业慢慢都会涌现这样的课程，全程可能老师都教学生用AI代理完成他们的课程任务，可能是生物学，可能是工程学，设计，数学，信息等等。

以往这些学生只需要负担一个学费，
现在他们需要额外负担老师教学的token成本这可能远远大于他们的学费和生活费成本。
如果你家境贫寒或者仅仅是普通，那么最终的学习成绩都会被班里token开支富裕的学生碾压。

以后普通人报学校可能首选的是能给更高token免费额度的学校就学。
这可能是是未来全球所有普通学生需要面临的问题，普娃危机。",最近关注到国内正在发生的一个AI对家境不是很富裕的学生非常不友好的地方。,https://x.com/xiaomustock/status/2096841189639200968
2096824407109128397,2026-09-07 04:54:30,C,10,交易心法复盘与知行合一进化,12,0,1,5584,0,"@FaisonMattsjgf 普通人自始至终都是生物电池，
人最大的本领是提出需求和创造。
即使AI再进化成我们看不懂的样子。
我们人类的欲望依然会不断提出需求和创造改变人类自己的生活生产方式。

就像我们从猴子成为了人类创造了一切，
峨眉山的猴子还是该干嘛干嘛，他们也活的很开心也更舒服。",@FaisonMattsjgf 普通人自始至终都是生物电池，,https://x.com/xiaomustock/status/2096824407109128397
2096810637875921140,2026-09-07 03:59:47,B,30,交易心法复盘与知行合一进化,195,6,18,103876,0,"黄仁勋也称AGI来了。
ai模型迭代速度越来越快，4年发展成这样子，4年后会发生什么？
如果真agi，那么肯定有更快的自进化速度，
更大的token消耗量，更多的存储需求，更大的计算需求。
AI对全球各类产业的底层结构替代来临。",黄仁勋也称AGI来了。,https://x.com/xiaomustock/status/2096810637875921140
