类型,ID/标题,发布日期,字数/点赞,浏览量/文章ID,详细内容摘要
实盘推文,1938500963171754266,Fri Jun 27,点赞 12,浏览 2720,其实我发这篇文章的时候也有点顾虑，毕竟老发这种硬核的算法文章，对于普通人来说其实没什么帮助，还容易被人说接广告，舔交易所云云  我最初的想写的内容是关于“为什么James Wynn可以在 @HyperliquidX 开出这种“天量”的多/空仓单子，但怎么是在Cex上基本没怎么听到呢？！难道是还有Binance做不到的事情吗？” — 你们看这个内容是不是就很有“流量感”？   但是要想说明白这个问题背后的逻辑呢？你又不得不先把hyperliquid的机制说明白，而且假设要把所有东西放到一篇文章，结构上就会更复杂了，所以想了一下还是分为两篇  另外，不是我故意要把简单的东西复杂化（这个事情让AI来做就行），而是魔鬼都在细节处。  我大可以说，hyper就是个去中心化交易所。 但是它的去中心化机制体现在哪里？它的算法又是怎么与它的去中心化机制相辅相成的…  交易是一个体系，不是一个单一环节，都是一环扣一环。  假设你觉得某一环不make sense，那是因为你没看到下一环  我只是想告诉你，魔鬼就在那里看着你
实盘推文,2068541016668582303,Sun Jun 21,点赞 11,浏览 4289,同样的杠杆、同样的波动，为什么妖币的仓位总是爆得更快、更早、更惨？！  高 MMR 不过让强平价近一点，资金费磨损不过是慢性失血，薄流动性不过是滑点大些，标记价格失真不过是偶尔的异常。  危险在于当它们“乘”在一起：  1.高 MMR 把所有人的强平价压缩到狭窄区间 →  2.资金费磨损让这个区间随时间不断上移、安全垫不断变薄 →  3.薄流动性保证任何一股抛压（比如黑客砸盘）都能轻易捅穿这片密集的强平区 →  4.强平卖单在薄盘口里制造瀑布 →  5.现货崩盘把标记价格一起带崩，让瀑布无损引爆所有合约多头 →  6. 形成刹不住的连环清算
实盘推文,2073626657265504740,Sun Jul 05,点赞 10,浏览 4540,随着rwa/美股交易的火热，也有越来越多的小伙伴问我：为什么炒的美股/大宗期货的合约这么快就爆仓了？！  是不是交易所在搞我？  大家可能都有个误区。。就是交易的是 $NVDA $MSFT $INTC 都是几千上万亿市值的标的，那我的mmr，清算线标准会不会好一些？！   抱歉，并不会，甚至还比币圈的原生资产的标准更高（杠杆给的更低、mmr要求更高）。  你也别怪交易所，就是场内流动性不足 + 币圈原生资产的最初设定 + 预防盘后交易发生单边  如果你想着怎么识别、预防，甚至想了解背后的机理，这篇文虽然说的是币，但是也适用于股票/期货，给初学者涨涨见识也是好的  那你说，后续这个门槛会不会放开？！必然会的  因为能赚钱啊，不信你看看保险金的趋势曲线，走得真漂亮啊 🤣
实盘推文,1974684598979404205,Sun Oct 05,点赞 44,浏览 12966,哈哈哈哈 我其实还蛮想问，有没有内容创作者/博主跟我一样做这个事情是亏钱的，从别处赚到的钱还要往这里搭点钱 😂  1.我广告收入基本为0，除了影响力不足，没太多广告找上来之外，也可能是老了，一般人还真买不动我😂  2. 因为影响力不足，kol round也没有我的份，倒是有n个项目在二级接盘了 😂   3. 顾问咨询费基本打平，我跟几个朋友是有家税务/会计/安全咨询公司，倒是花了不少时间和钱给项目/交易所/律所/会计师事务所做咨询（有些我不会的还要问专业人士）都是跟朋友或者我觉得有意思的项目唠唠  我的朋友倒是一直跟我说要做付费咨询，看起来要提上日程了 😭  4. 测试/调研报告/长文也为0（是的，我写这么多长文都没有广告费 😂，都是好玩）而且为了测试算法/机制/跟踪新项目，我还要自己花钱测试，连续下单，爆仓，穿仓（有几个小币还差点被我打爆了😂，给那几个新dex说声抱歉）  5. 早期项目投资 - 我自己有个prop fund偶尔会参与一下早期项目投资（数额很小）开始写长文之后，找来的评测项目就更多了，有一些看着还挺真诚的就参与，目前还颗粒无收 😭  我目前在看新算法的perp dex，比如permissionless listing perp，与cex/dex有套利差的perp/spot； Robots/ Agentic AI之间的支付体系；带主动做市功能的AI agent （这几个是我比较看得懂的）  比起各位年入数百万美金的KOL事业，我这个是自己还要搭进去数百万美金…. 说自己是博主，感觉都愧对这个行业 😂 给大家拖后腿了  但是呢还是有好处的，就是可以认识了跨度很大的一群新朋友，获得了不同的“角度”。要知道跟我同一期的老灯们要么是跑路，要嘛是退休，要嘛是退圈，只有极少数还在一线，所以每次聚会的时候都很孤单，只能站在角落瑟瑟发抖  因为开始写文，认识一群同温/同频层，享受来自不同信息源的碰撞，就像暖流和寒流的交汇总能带来丰沛的渔货。  虽然背景都不同，调调也不一样，但是只要你愿意提高/放下自己，融入，即使是老灯，也是一副新灯芯的老灯 😄
实盘推文,2047904600305651974,Sat Apr 25,点赞 26,浏览 10380,劫后余生  312对整个行业是毁灭的，同时也起到了积极的推动作用  首先是抛弃币本位反向合约作为主流产品。 取而代之的是：U本位线性合约（以USDT或USDC作为保证金和结算单位）迅速崛起。保证金资产（USDT）与合约标的彻底解耦——BTC暴跌时你的USDT保证金不会跟着贬值，双死亡螺旋被从根基上切断。  数据上看，到2021年底，U本位合约在全网永续合约中的交易量占比超过85%，币本位合约则退居为一种”特殊产品”，主要服务于那些持有大量BTC现货、希望用币本位做对冲的长期持有者。  312不仅改变了合约类型的市场格局，更深远的影响是让”风险”成为了CEX衍生品产品设计的核心。  阶梯式清算、ADL、多数据源指数价格、EMA窗口优化、组合保证金——几乎所有后来成为行业标准的机制，都是在312之后的两三年内密集落地的。
实盘推文,2002255907376578917,Sat Dec 20,点赞 51,浏览 23914,哈哈哈 如果你觉得最近自己发的内容没什么流量，然后有点小焦虑？ 别担心😉  我那些几十万浏览量的长文（都不是长推）都是突然不知道有一天，突然就有人冲进来   可能是被某个大v转，可能是市场结构，可能是某个事件，可能是x的算法更新，可能是x的dev休假回来….  比如这篇讲清算机制的，就是突然有一天市场突然崩了，大家才意识到重要性，才恍然大悟（下次大跌，这篇一定过10w+）  有些话题能火是因为发帖的那个人，是影响力带动；  有些内容能火是因为那篇文能带来价值，能产生共鸣，是情绪驱动  要分清楚影响力、价值和情绪的差别  如果不是生活所迫，那至少在网络世界活成为那个你喜欢的样子
实盘推文,1941009901490524309,Fri Jul 04,点赞 14,浏览 2647,爆仓疑云：为什么同样的仓位和价格，a交易爆你的仓？b交易所却没事？有甚者，清算之后你还倒欠交易所钱？  不知道你们会不会觉得奇怪，为什么在同样的条件（杠杆/开仓价格/仓位 etc），为什么每家交易所的爆仓/清算价格是不同的？   甚至是仓位被清算之后，为什么剩余的资产是不同的？有的剩的多？有的还会会倒欠交易所钱？  你们是不是以为这都是交易所盯着你们的仓位？要吃客损？  😄 别傻了，孩子们，不是你们强得可怕… 这一切都是各家交易所的清算算法决定的….  我本次比较了 @binance @okx @bitgetglobal @Bybit_Official 的清算算法/adl 给大家揭秘一下“爆仓疑云：你说的客损和利润都藏在清算算法里” （感觉应该是一篇10w+的标题 😄）  剧透一下： 清算算法的容错率结论会有点出乎大家的意料  有兴趣的各位，可以关注，开启小铃铛啦 😄 不日发表  ps：我这里暂时没找到 @okx 关于清算和adl的稳定，谁能提供一下哈
实盘推文,2038822505486709213,Tue Mar 31,点赞 4,浏览 2585,本文的论证逻辑是在同一个市场，相似的受众和标的，资金使用效率应该是类似的  为了怕大家说我偏颇，我用了Hyperliquid作为benchmark （日均合约交易量$68.9亿，对应 $48.8亿 TVL）日均比率为 1.44x - 就有了这张传播颇广的图  注意：这个是合约交易的数据，而且没考虑各交易所的政策/活动  后期调研发现， @MEXC_Official 这个是因为多个交易激励活动和0费率政策所致，所以大家也不用去fud  结论并不重要，记住3个事情就可以，尤其是第三点：  1. 方法论：vol/por 比绝对值更能说明问题 2. 加密交易量还tm在早期 3. 欢迎大家来 https://t.co/HJByC2ahKH 开空 😄
实盘推文,1938949862558728471,Sat Jun 28,点赞 4,浏览 109,首先太感谢你的时间了  好难得有人能整篇啃下来，然后还能举一反三 厉害  先回应你： 1. 交易所的机制都是“亏”出来的，bn最早是从bitmex搬过来的机制，然后随着流动性增加/山寨币/市场环境变化才最后演变成今天这个样子，这个算法说是10亿换回来的都不过分  什么哲学思想都是我自己yy的，但是这也反映出设计者的思维底层（很可能连他自己都不知道他是这个金融思维）  2. 对于机构来说，看算法是一回事，交易所给的api接口，下单限制又是一回事 ，充值提现限制也是一个因素（又给自己挖坑了… ） 具体的策略执行还要看这些细节，我说的结论是结合这些因素  3.我特意强调hyperliquid的标记价格和资金费率的算法，其实是为了“铺垫”我的下一篇文章 “HLP vault”， 这个才是Hyper的核心  这也是为什么hyper可以容纳或者说“极限交易”的主要原因（我这里想卖个关子啦！😂）剧透一下：什么流动性，信誉都是次要的，是开单的成本  最后： 太赞了👍 这种讨论真的好爽，虽然不见人，但是从文字就有种“我懂你”的知性“爽”感   思想碰撞的愉悦才是twitter的杀手锏啊
实盘推文,2078343726309728567,Sat Jul 18,点赞 37,浏览 15118,我补充一个观察，可以一起研究一下 @0xVeryBigOrange @bitfish   我有一个暴论：韩国金融厅这里最近改变了券商的清算方式，即券商把清算仓位丢给第三方，而不是直接往市场上砸  举个例子：7/13（一）的时候都跌熔断了，按照t+2的原则，在周三的时候，早盘竞价的时候会有一堆头寸清算，但是7/15反而是大涨（复苏），而且券商头寸方面的清算数额也不高（3.8%）  我是赞同目前的韩国股市还是：散户用新杠杆，去承接旧杠杆的说法，机构是在用futures去对冲承接  散户什么时候投降？或者投降的指标？ 我是觉得现在看宏观的数据不是很有用了，短期我更倾向于看散户的预托金的流入情况，消费贷款额度，散户跟券商的融资头寸 - 现在还是在近6个月的高位 😂
实盘推文,2069415095860650021,Tue Jun 23,点赞 14,浏览 5003,过去的金融世界，是有时间边界的。  早上开盘，下午收盘，周末休市，银行有工作日，清算所有结算日，交易之后有日终处理。保证金可以在某个固定时点计算，后台系统可以在市场关闭之后对账、修正、补资料、处理异常。金融市场再复杂，也总有一个时刻会停下来，让制度喘一口气。  这个“停下来”的时刻，几乎是传统金融最隐蔽的地基。  Crypto 说：就算你数到一百，劳资就是不关。  特朗普不会因为是周日就不发推； 比特币不会等纽约开盘； 永续合约不会因为周六凌晨就停止波动； 稳定币不会因为银行休息就停止流动。  市场从一条一条交易日，变成了一条连续不断的时间线。  这可能才是 OKXICE 真正值得期待的叙事。它不是“传统金融拥抱 crypto”这种老套叙事。它背后真正的问题是：  7 x 24交易的趋势已至，当交易永远不关门，传统金融赖以建立确定性的那套清算、监管、抵押品和客户资产制度，还能不能继续运转？
实盘推文,2063988435967455273,Mon Jun 08,点赞 11,浏览 5470,说一个大家可能都不在意，但是又有点重要的事情  就是在韩国🇰🇷margin loan的清算其实不是实时的～   韩国股市的信用交易主要分为两种：「信用融券/融资 (신용융자)」（标准融资）和 「未追缴结算款 (미수거래)」（超短期融资）。  1. 标准信用融资 (aka Margin Loan / 신용융자) —— 维持率不足 当你的账户资产因为股票下跌，跌破了券商规定的最低担保维持率（通常为 140%）时：  T日（触发日）： 收盘后，若维持率低于140%，券商会向你发出Margin Call。  T+1日（宽限期）： 给你一个交易日的时间去补足现金，或者自己主动卖出股票减仓。  T+2日（爆仓执行日）： 如果你在T+1日收盘前未能将维持率补回140%以上，券商将在 T+2日的开盘集合竞价时段 强行对你的股票进行下限价卖出  2. 未收账款交易 ( aka Unsettled / 미수거래) —— 超短期强平 这是韩国散户非常喜欢用的一种高杠杆、超短期融资（通常只需要交40%左右的保证金，但是在T+2日必须补齐余款）。  T日（买入日）： 借钱买入股票。  T+2日（结算日）： 正常结算日。如果收盘时你账户里没有足够的现金来支付剩下的 60% 尾款，这就属于“未结算款”。  T+3日（爆仓执行日）： 早上 09:00 集合竞价时段，券商会直接把你账户里的股票挂单卖出。
实盘推文,1982408899467899260,Sun Oct 26,点赞 30,浏览 40248,还记得10.11那天，我的wbeth仓位被干了… 我那时候找到客服/大客户经理，要讨个说法.. 就这是什么情况，凭啥被干了  我猜他们的统一说辞都是“市场行为” bla bla bla，这跟我们没有关系之类的，我当时还想跟他讲道理的…  后来，说着说着他还给我一个说明，说你看当时最低的市场价是430，针都到这里了- 你这个爆仓就是没错的… 系统是对的，你就认栽吧之类的  他一说到这里我就意识到，我就不应该花时间跟他聊，这完全没有意义 — 因为清算价格是按照标记价格来的啊！！  你在这里跟我扯这根针？  哎 夏虫不可语冰 大概就是这个意思吧
实盘推文,2017502250445508710,Sat Jan 31,点赞 20,浏览 5244,你们说我写了这么多，有没有什么给币安或者cex的建议？   有啊，我提了好几个 b book api 参数的修改  还有我去年11月写的熔断机制 （本质上是让流动性能进来，防止价格因流动性不足造成错配）  熔断机制正是为了在极端市场环境下提供一个足够长的时间窗口，以解决这些技术、运营和风控障碍 —— 为流动性提供一个呼吸通道。  这就像是对一个气胸的病人（流动性真空），临时插入一根导管（接入场外流动性），清除多余的空气（清算能量），让该病人能挺过去。
实盘推文,1972150905555636711,Sun Sep 28,点赞 36,浏览 8411,当我们在说perpdex要爆的时候说的是什么？  1. 是perp dex因为内部机制造成LP大规模损失？ 穿仓？用户损失？  2. 还是token 价格瞬间腰斩？（因为各式各样的原因）  从因果关系来看，1大概率会造成2；但是不是造成2的唯一的原因（各式各样的原因）- 我这里就不讨论token price的impact（不看多空）  以 @Aster_DEX 的合约交易类型来看，又可以分为 perp （pro）和 1001x （简单）  这两个模式出大问题的情况和导火索都不太一样，那问题来了，请问出问题前会有什么征兆？在目前高频刷量的市场环境下，会有什么问题？该如何避免？  还请大家关注明晚的长文 - aster的前世今生和未来 😂
实盘推文,1980482009089892684,Tue Oct 21,点赞 79,浏览 19508,各位，认真的，假设你不知道什么是仓位的  1. 维持保证金 2. 强平价格 3. 破产价格  还不设止损的  那你来做合约交易，就是来送人头，妥妥的 你没被爆仓就是纯运气好  强平价格的触发总在破产价格之前。 强平条件触发后，用户的头寸被清算引擎接管，并以“破产价格”进行内部结算。
实盘推文,2005288937749987639,Sun Dec 28,点赞 37,浏览 36336,如果没有大所，即bn或cb+upbit要list现货的话，这盘棋就要重新评估了  因为目前刷分的系统非常依赖于自家平台币的价格 - 越高才能捕获更多的价值（有人刷，mm和套利才有机会，才能吸引外部策略）参考aster  要想靠自己场内的流动性打造下一个perp dex的hype在这个版本实施有点强市场所难，毕竟HL的打法跟lighter是不同的，前者是先流动性聚合后交易，之后在赚钱；后者是先交易，后赚钱，才是流动性  两者从机制上激励市场的点是不同的， $hype 的价格波动对流动性和交易量不起到决定性影响（但hlp亏钱就是大事）但 $aster $lit 的价格一跌，交易量直接萎靡  但是强如bn cb listing，cz喊单都没把这个模式喊成持久的光，lighter现在把主要的车头得罪了，只能寄望自身的控筹操盘能力了  如果要我说的话，这次的 $lit 有点 老灯 $pump 的感觉 ，觉得自己能秒，做好孤身走暗巷的准备，也想象好自己不跪的模样  所以大概率会走出一条跟大家期望不一样的道路，冲高回落再冲高….  或许，只能在祭出buyback+burn 后才对峙过绝望  我虽然不太看看好这个激励模式和 $lit 在这市场的表现，但是都是陈年项目方，都到了这一刻  只能吼一句：  战吗 战啊 以最卑微的梦 致那黑夜中的呜咽与怒吼
实盘推文,2038563869854192124,Mon Mar 30,点赞 8,浏览 4825,这篇文的调研指标： 交易量/资产（核心资产POR)  逻辑说出来也很直观： 在同一个领域/赛道，交易相似的交易标的，受众相似的情况下，大家的（沉淀）资金使用效率按理说应该都差不多的 （除非有什么活动、长尾资产、激励等）  至于benchmark，我特意选了个非cex的标的做参照物 -Hyperliquid  但是这个算法有个问题就是对于“长尾资产”较多的 @MEXC_Official  @htx 就显得有些“吃亏”了 （但是这两家的核心资产都非常的多）  特意写这出来是要告诉大家，不同的指标（角度）看同一个问题将会得出不同的结论  本文仅仅是从一个视角管中窥豹而已  当你对行业数据觉得失望之时，不妨试试 https://t.co/HJByC2ahKH 不看好，可以卖空
实盘推文,2070350124354883879,Fri Jun 26,点赞 28,浏览 13685,这几天有小伙伴问我： @okx和ice的这招会不会卡 @binance 的脖子？！   因为ice是清算机构，未来binance的bstock是不是有可能通过okxice进行链上美股的清算？—— 答案是：不会的，清算机构可不止ice一家呢 （大家自己去问AI，但grok就算了。。）  在都是7*24，都是链上美股（正股）的情况下，那okxice的真正优势是啥？  答案：与传统银行打通的结算体系，7*24的那种 你想象一下，有个机构在链上穿仓了，周末银行不开门，怎么补保证金？用okxice可以做到。。。  看到差异了吗？
实盘推文,2088847098334904552,Sun Aug 16,点赞 12,浏览 13470,我的锅，没注意到这个事情 - 调整成 111.11 美金的年费了（月费还是50）  限时开放24h  感兴趣的可以去订阅了，过时不候啦  https://t.co/ET304CtJEt https://t.co/oWfm2IKoZs   下期预告： 休市期间的股票perp的价格，是从哪个交易所开始“异动”的？  A. Binance B. OKX C. Hyperliquid （trade xyz） D. Bitget E. MEXC F. 以上皆非     ps：这个内容是休市期各交易所perp的算法类的内容，比较复杂，发在x大概率会被公关 🤣
实盘推文,2037901689957556347,Sat Mar 28,点赞 32,浏览 13459,细心的小伙伴可以看到我下午发了一篇关于几大交易所，包括hyperliquid、okx、binance的一篇关于交易量与POR（储备资产）的量化分析，主要是回答一个前几天在x上流传的问题：Binance的市场份额真的萎缩了吗？！  调查用的是 defillama / coinglass 的数据源 - 结果经小伙伴提醒，发现道有些数据差的很远。。。 数据源都不对了，何谈分析呢。。  果然准确性和判断还是得靠人类。。刚vibe完脚本去做爬数据做分析。。  感兴趣的小伙伴可以蹲一波 发现了一些好玩的事情
实盘推文,2090682708414623799,Fri Aug 21,点赞 165,浏览 48128,前段时间跟几个做量化mm的小伙伴聊天，才知道原来专业如他们都不知道在股市休市期间为什么是 Hyperliquid的mark price先动？然后才在各cex传导  stock perp的mark price是怎么计算和传导的？🤣🤣  为什么周末bn和okx的场内价格老是被薅羊毛？ 老被牵着鼻子走 为什么gate的交易量和深度在周末更好？  这期的内容非常的硬核，非常的干。大家准备好点温水  这几天整理好后发在substack给付费的群友开开眼：  substack.com/@agintender
实盘推文,1989171210807308616,Fri Nov 14,点赞 17,浏览 11072,事情也过去了一段时间了，大家也可能都冷静了不少  也不是说我要帮 @Backpack @binance @Bybit_Official @bitget 洗白，但就是这个道理  在这种双螺旋（你也可以理解双杠杆）的结构下，价值的崩塌速度是x3 x4 x5  我们常说的强平价格是维持保证金率反推出来的，而当保证金减少时，强平价格也会提前触发（不只是标地的价格）  很多时候，前端是不会显示这个变化，但交易员也会跟着强平触发时间去倒推当时的标记价格来计算自己的强平价格  误会就是这么产生的  很多时候客服，甚至大客户经理自己都说不清楚，更别说在情绪上头的交易员去理解
实盘推文,2037449010999624075,Fri Mar 27,点赞 10,浏览 6963,前两天说到 $freedomofmoney 这个 #bnbchain 的meme的apy爆表了。。 有小伙伴说，流动性太少了。。  经过这两天的不懈努力，我终于说服一个 freedom of money的大户答应把 up to 1% 的筹码拿过来 https://t.co/HJByC2ahKH 给大家玩玩 （目前是20k，这两天看情况再添加）  大家如果觉得这个由cz写的新书的meme就是个笑话的，目前接近12m的市值（已经上了alpha）- 我们这里给大家一个机会来short （全网性价比最高的方式）  你要是觉得 freedom of money包上perp的，也欢迎你把token stake进来赚利息，反正放着也是放着  还有 https://t.co/HJByC2ahKH 是一个无许可平台，任何人都可以来这里创建交易对，添加流动性，自己做庄家 permissionless and self service  你添加流动性，我来找对手盘
实盘推文,2090026832070664214,Wed Aug 19,点赞 22,浏览 11167,有小伙伴说 Nasdaq开启5*24交易后会利好 okx？   别傻了孩子，何止是利好呢…   你觉得清算有几道程序吗？涉及多少个机构吗？那些华尔街传统的金融机构速度能在12月前完成设置？   肯定会有一部分流到币圈的交易所和协议的
实盘推文,1977608486054932933,Mon Oct 13,点赞 133,浏览 24392,重要的事情说3遍 合约是用标记价格来决定盈亏的 合约是用标记价格来决定盈亏的 合约是用标记价格来决定盈亏的  强平价格的触发总在破产价格之前 - 假设破产价格是100，系统在95的时候就会开始清算了
实盘推文,2080660602524143797,Fri Jul 24,点赞 6,浏览 4122,乍一看，Q2的交易量和OI排名貌似没什么太大的改变，但是可能收到“合规”潮影响，有异议的交易量似乎减少了  但是如果我们把目光放到rwa的话， @bitget  @HyperliquidX 这两家是这波股票上链的受益者 ，领先趋势开始显现出来  q3 看下 @binance @okx 怎么发力守住自己的护城河，也看 @bitget 还能搞出什么花活儿   ps：我才发现之前发的q2的交易所数据不知道怎么的，找不到了。。 好神奇。。。
实盘推文,2090826908972052524,Fri Aug 21,点赞 0,浏览 0,前段时间跟几个做量化mm的小伙伴聊天，才知道原来专业如他们都不知道在股市休市期间为什么是 Hyperliquid的mark price先动？然后才在各cex传导  stock perp的mark price是怎么计算和传导的？🤣🤣  为什么周末bn和okx的场内价格老是被薅羊毛？ 老被牵着鼻子走 为什么gate的交易量和深度在周末更好？  这期的内容非常的硬核，非常的干。大家准备好点温水  这几天整理好后发在substack给付费的群友开开眼：  substack.com/@agintender
实盘推文,2050920973768311080,Sun May 03,点赞 102,浏览 23169,哥好久不写妖币，但江湖都流传着哥的推文   关于所谓的“妖币”操纵案例和推演路径，我之前写过好多了，大家有兴趣可以自己去翻（就问我领先了几个版本🤣）   不管是 $coai $myx 还是最近的 $rave $lab 本质上还是跟我去年10月写的方法论是一样的  稍微不同的是场所，保险基金，清算方法，oi限制，链上资金池 etc 🤣
实盘推文,2047671007323009236,Fri Apr 24,点赞 41,浏览 12110,这篇文的随便一张图表都是满满的回忆，也是多少亿美金的教训  今天给大家说一个老韭菜们闻风丧胆的312 ，2020年的3月12日，在数小时内 btc从7800到3800，基本没有回头的迹象  那时候的情况其实有一点10.11的影子，币本位螺旋（类似1011的质押token借出稳定币去开头寸，遭遇抵押品和头寸的连环清算） + 头寸的清算 + 套利实效
实盘推文,2068863519978934417,Mon Jun 22,点赞 22,浏览 7634,看了cz的访谈，看起来binance短期内还没办法切入 @HyperliquidX 优势，持续加仓 hyperliquid:native    都2620年，不前置kyc只是一个feature，不是一个决定性因素了哟   定价权的争夺已经从流动性侧转移到机制侧了
实盘推文,1965305844033355925,Tue Sep 09,点赞 130,浏览 31206,其实 $myx 这个盘子找了好久的空仓对手盘（也可以是多仓），终于在拉到4u的时候，oi激增— 就是有人愿意做对手盘  之后的事情大家都知道了 一路到14u  多看数据，但不依赖数据
实盘推文,2005871938615603451,Tue Dec 30,点赞 6,浏览 2598,来来来 各位朋友们，都说说看你们在25年都挨了几刀？   说出来让大家开心一下  我先来 我总共挨了3刀  被动挨了第1合约插针的刀  主动挨了第6单边流动性和第9 ico打新的刀
实盘推文,2103050831280927229,Thu Sep 24,点赞 3,浏览 2716,终于上spot了，不过这个时候给 hyperliquid:native 加个seed tag… 这是嘲讽还是挑衅？ 🤣  对面的 @HyperliquidX 不知道是没睡醒还是不care，连转发/回应都没有 - 换做是其他的项目早就爆炸了 😄   不过这个做法也很hyper liquid  好笑的，这波上了bn spot没大涨，反而还跌了一点（因为大盘的关系）终于没有人骂是老鼠仓了吧 😂
实盘推文,1972121081495576660,Sun Sep 28,点赞 3,浏览 635,@ch999degen @HyperliquidX @extendedapp 🤣 感谢支持 对小伙伴有帮助就好   主要是大家预期 $ff @falconfinance 给 @KaitoAI 的空投会很多，所以导致了一部分去买kaito质押成skaito 或者 购买yt kaito
实盘推文,1904934010838765759,Wed Mar 26,点赞 0,浏览 86,@whaleshark0x 我没有去看hyperliquid的terms and condition，但是我敢打赌10u里面会至少有一条一定会说恶意操纵市场的话，会abcde等等的处置方式  所以hype是按照用户【同意】的规则来处理的
实盘推文,2076648005785272689,Mon Jul 13,点赞 2,浏览 1687,@RYANHINGSHING 我觉得这轮主要看韩国的deleverage情况  主要是散户的热情有点太夸张了  预托金一直清算一直进来
实盘推文,2025776492274450645,Mon Feb 23,点赞 7,浏览 3072,@thankUcrypto 应该是api推送的问题 bn这里的推送不是每一笔清算
实盘推文,2103001542119104753,Thu Sep 24,点赞 0,浏览 202,@GuHype 我在给你的bag找对手盘啊 应该要感谢我啊 😄
