类型,ID/标题,发布日期,字数/点赞,浏览量/含金量,详细内容/长文摘要
实战推文,1983057356549144637,Tue Oct 28,点赞 55,评分 7.5,今天说个合约指数价格权重的自引用  自引用指的是指数价格除了取其他交易市场的现货价格之外，还会取该合约市场的价格  这听起来很奇怪，自己引用自己？这相当于是标记价格趋近于该合约市场的成交价格  其实这也是无奈之举吧，在当前这个版本下：很容易出现小马拉大车，即 操纵者的流动性较少的现货市场行为 → 现货价格变动 → 指数价格变动 → 标记价格变动 → 触发清算  通过控制一个流动性差的新代币的主导现货市场，操纵者实际上控制了标记价格计算的主要输入变量，进而完成收割  交易所为了提高“操纵”的门槛，也不得已将流动性更好的合约市场的价格纳入指数价格的取值范围（为了提高操纵成本还提高了合约市场价格的权重，硬生生将合约市场“偏离”现货价格）  所以最近才会出现一些现货-合约价差颇大的现象
实战推文,1990619929016672741,Tue Nov 18,点赞 29,评分 6.9,反向毁灭（熊市中）： DATs完全依赖于持续的牛市情绪和高企的股票溢价。一旦市场转向，飞轮会迅速反向旋转，变成“死亡螺旋”：  1溢价消失，燃料耗尽： 当底层币价下跌时，“币股”的股价会跌得更猛，导致其mNAV溢价迅速收缩，甚至变为折价。  2融资能力被冻结： 一旦溢价消失，任何通过增发股票的融资行为都将是“减值性”的（Dilutive）。此时，公司无法再进行增值性融资，其核心的增长故事就此破产。融资能力——这条唯一的护城河——瞬间干涸。  3负反馈循环： 融资渠道的枯竭和增长叙事的破灭，会引发投资者的恐慌性抛售，进一步打压股价，形成恶性循环，最终可能导致股价的崩溃。
实战推文,2051481695824855536,Tue May 05,点赞 33,评分 8.8,哈哈哈 太好笑了🤣 昨晚看到有人说原油被bn操纵了，吓了我一大跳，怎么说呢？特朗普都不敢这么狂～  我喽了一眼，具体的原因其实就是rollover 展期换月的事情+ 周末伊朗局势变化+ 有人抢跑 ，结合在一起就会爆炸了  rollover会在月初慢慢调整过去的，这段时间的波动就很大  有人就说啦，同样的标的，那为啥周末bn和hyperliquid价格不一样，资金费率这么夸张，因为cl原来就是锚定期货价格（不是cfd）的 - 而且bn这里会把周五收盘价格固定着，假设周末的价格变化较大，与周五的收盘价差距较大，那么资金费率就会很夸张了 —- 我看了一下，这也是大家说bn上的cl被操纵的原因  owen在文中把资金费率当成是信息（价格）优势的抢跑费用，我倒觉得资金费率在这里是非交易时间段的跑得快游戏  就有点类似妖币的数据盘游戏 - 在非交易时间，cl的永续就是个基于周五收盘价的数据盘，不是你不能玩，而是你要知道你的信息优势和交易行为在这段时间不会影响标记价格，你就只能赌（跟套利无关了）  最后，月初的rollover套利是一门技术活儿 - 能把价差，资金费率，rollover的比例算清楚的人真的不多，加上永续的价格预言机啥时候换，我tm4月就被坑过一次，被以前的同事笑了半天  做大宗这么多年，还能被烧，我也是服了
实战推文,2033804745278906661,Tue Mar 17,点赞 17,评分 5.4,我才发现好多CT都知道kimchi permium泡菜溢价  但是不知道这个韩国财阀折价 chaebol  discount 这个事 😄
实战推文,2071799783984165220,Tue Jun 30,点赞 6,评分 6.2,同感  从股东权益的角度：花capex的钱=短期从股东权益拿钱走，而且效果预期还不确定  其次内存高溢价的原因是产能不足导致的，产能（数量）上来了，单价就下来了  区别在于这部分是你吃掉了，还是让别人吃了  扩产部分的收益 > 现在投入的capex + 毛利下降的损失部分 + 竞争对手扩产吃掉的份额  感觉这波大规模扩产更多是政治任务 😂
实战推文,2074512337483210994,Tue Jul 07,点赞 16,评分 7.1,"今天（7/7）的韩股资金流向： 外资净卖出 -2.92兆韩元（单日）， 机构 -3,110亿； 散户净买入 +3.14兆。  2.92兆韩元 - 这是什么意思呢？历史上外资单日卖超 2兆的日子其实屈指可数（2024 年 8 月全球去杠杆那次也就 -2.4兆量级）你们资金细品。。。  7/7的博弈意味着什么呢？ 一是散户几乎全额吃下了外资+机构的抛压，内资散户进，外资退；  二是更重要的——散户砸了 3.14兆进去，指数还是跌了 4.91%。这说明买盘完全没有定价权，只是在给卖方提供流动性。。。。。"
实战推文,2074507820754760097,Tue Jul 07,点赞 4,评分 5.4,肉眼可见的地理套利、身份套利和模型套利的机会将再被放大  潮汕buddy们，你们准备好了吗？
实战推文,1952747244404572297,Tue Aug 05,点赞 0,评分 6.6,"@Wei_than Mark Price = Median (Price1, Price2, Last Traded Price)  Price1 = 指数价格 × (1 + 资金费率基差)：将合约价格锚定于指数价格并考虑市场预期  Price2 = 指数价格 + 移动平均基差：用于平滑短期价格异常  Last Traded Price = 衍生品平台上的最新成交价。"
实战推文,1952676015521796568,Tue Aug 05,点赞 15,评分 7.7,没想到这么巧 - 昨天刚发完今天就来了个鲜活的案例 $myx  $myx 目前已经是顶格费率 （每小时空仓要给多仓2%的资金费），24h就是48%  从截图的数据来看，指数价格是$1.60 ，标价价格是 $1.28 ，差了近25%   然后看指数价格的来源：mexc，bitget和pancake （7m的流动性池子，正负10%不到100k的流动性）  截止到发推前，oi已经70m了。mc在24h涨了450%后到了185m  你说谁在亏钱？谁在赚钱？到最后谁会埋单？ 这篇长文都已经写好了  只要机制如此，市场总会有下一个 $jelly $alpaca
实战推文,1971046226683650470,Thu Sep 25,点赞 7,评分 6.2,从binance 的公告来看，原定xpl staking的空投提前了，加上holder airdrop - 这波流通就大了  不知道有没有超出项目方的预期  如果超出的话，为了总体的控筹结构，很有可能牺牲那些锁着链上的存款的token 分发节奏  现在就看韩所的溢价能力能不能撑得住，不能的话就是高开低走了
实战推文,2095549416019243167,Thu Sep 03,点赞 22,评分 6.8,如果我是bn的话，我会想尽一切办法扶持好 $GPRO ，给流动性补贴也好，加入mm资源也好… 以身入局也可以  让华尔街知道stock perp是怎么“倒反天罡”的  这个标的非常合适 有叙事，市值不大，有争议，有传播度，现货交易量不大…..   周末一鼓作气把定价权拿过来  @heyibinance 这种标的不常有啊
实战推文,2095524593721315442,Thu Sep 03,点赞 38,评分 6.0,有多少人能够真的理解：所谓的跨所套利，其实跟主观交易是一样的。。。
实战推文,1973602988368486656,Thu Oct 02,点赞 19,评分 7.3,将Aster与Hyperliquid进行比较是一种分类错误（尤其是各种交易数据）  Hyperliquid的价值源于其独立的L1技术和协议收入 - 是一个基于流动性分发的基础设施，它的核心是“绑定在一起的流动性mm的总体价值”的综合，有多少套利机会就有多少交易  而Aster的价值则由其协议收入加上其作为Binance DeFi原生延伸所带来的巨大战略溢价构成。其估值应被视为Binance市值的一个参数，反映了它在捍卫Binance市场份额和将Binance生态扩展至链上世界中的重要性。  Aster是Binance后合规时代防御战略的关键组成部分。它允许Binance生态系统在链上衍生品领域进行激进竞争，同时在受到严格审查的CEX与“去中心化”协议之间建立了一个至关重要的监管隔离层。  Aster在战略上扮演了“监管套利”的角色。它将Binance的力量和流动性投射到DeFi领域，却没有扩展Binance正式的监管边界。
实战推文,1991356552733946148,Thu Nov 20,点赞 67,评分 8.8,瞎编下一个打法： 1.找一个底子不错的中登币（低流通，在各个借贷defi和cex质押都有，有合约交易）  2. 链上喂价用chainlink oracle  3. 开始慢慢做起来，1w线做个1x-2x，慢慢磨个2w到4x  4. 于此同时，去各个借贷协议提供代币供应  5. 能垒起来oi最好，不好的的自己堆，全网的oi占市值20%足以  6. oi起来后，现货的盘面的深度与合约的深度0.75:1  7. 开始去各个协议质押代币借出稳定币/btc/bnb/eth/sol，利用率大概40%即可  8. 维持1w的币价，然后把借贷出去的币都撤出来，借贷利率瞬间飙升，套利者进入（买现货）；借贷做合约的吃疼，但是合约退不出，也只能买现货补上借贷头寸；与此同时把净多头头寸交给有缘人  9. 乘着夜色和套利的嗅觉，最后来一波冲锋，让套利者加仓…. 市场冲锋的时候，a. 为了防止被交易所盯上，一部分token迅速把各个借贷协议的借贷额度打满；b. 另一部分token出现货；c. 因为b，合约开始暴跌- 有良心的会撑一撑  10.走马川行雪海边  平沙莽莽黄入天  横批：凭实力借来的，凭什么要还  纯属虚构，如有雷同，就是雷同  ps：要不然你们以为DATs怎么会跌的这么惨…
实战推文,1988928210428653827,Thu Nov 13,点赞 34,评分 9.6,今天说一下 @Backpack Exchange ——生息永续合约 (IBP)，应该算是BP的产品创新之一，质押 BTC/SOL 作为抵押品——允许用户自动借入 USDC 来支付盈亏或结算款项，从而避免强制出售非美元抵押品 ——随后使用借到的 USDC 开立永续合约头寸  通过借贷模块获取稳定币（USDC），然后利用这些稳定币作为保证金来开立永续合约头寸，赚取资金费率，从而实现理论上的“中性收益”   这个model一般会衍生出有两种玩法（利用了 Backpack 的 IBP）  经典基差交易 (Basis Trading): 交易者持有现货 BTC/SOL（作为抵押品），同时开立等量的 BTC/SOL 永续合约空头头寸。在牛市中，资金费率通常为正，空头头寸会持续获得资金费率收益。  借贷套利 (Borrow & Trade): 质押 BTC/SOL，借入 USDC，然后利用 USDC 保证金开立针对其他资产的永续合约头寸（例如，如果认为 ETH 资金费率极高，开立 ETH 永续合约空头）  一切都相安无事，很多用户都拿这个model来刷积分，一直到10.11 （就是抵押品 + 仓位的双重暴击）  1. 在市场暴跌期间（ 10/11 闪崩 ），作为抵押品的 BTC/SOL 价格急剧下跌，导致其市场价值蒸发。加上当时后的仓位价值也在下跌  2. 抵押品清算的估值折扣 ： Backpack 对抵押品的市场价值应用折扣率 (Haircut) 来计算其有效抵押品价值 - 进一步压缩抵押品的价值  3. 非线性清算：当市场恐慌和波动性急剧飙升时，交易所的风险引擎很可能会动态提高波动性资产（如 SOL/BTC）的折扣率。这意味着，即使在市场价格下跌的基础上，作为抵押品的 SOL/BTC 的可用价值也会被非线性地削减 （orderbook订单簿变薄）  4. 仓位价值减少：仓位价值随着市场崩塌进一步下跌，接近强平价格  5. 清算触发： 抵押品的价值可下降，导致保证金水平降低和清算风险 这种复合式的抵押品价值衰减（价格下跌 + 折扣率提高）会快速消耗账户的维持保证金缓冲，导致动态清算价格 迅速逼近标记价格，从而在理论对冲尚未完全失效之前，账户就因保证金不足而被强制清算 。  因此，这种“中性策略”的本质风险在于：当市场恐慌时，策略的对冲头寸（永续合约）或许是稳定的，但账户的抵押品基础（BTC/SOL）却在崩塌，更甚者，抵押品与仓位价值一起崩塌。  清算并非源于资金费率对冲的失败（理论上永续合约的空头应该对冲现货多头的下跌损失），而是源于抵押品价值的降低  知其然，且知其所以然
实战推文,1925503594608173513,Thu May 22,点赞 0,评分 7.0,应该是oracle接口或者池子的接口出错了 $sca @Scallop_io 这市值直接上天了 😄  赶紧修一下吧  @CetusProtocol  @BinanceWallet https://t.co/4F0UOefYwg
实战推文,2054969732491583943,Thu May 14,点赞 19,评分 6.2,交易的本质是有利可图（或者你在做决定的时候主观上是相信是有利可图的）  不管你是套利/看好/看空/撸毛；交易的是现货/合约/期权/预测市场  而交易所就是要创造这种“有利可图”的机会，不管是空投/时间差/空间差/预期差/波动率 etc  有了这个基础，才在上面堆砌叙事/技术/机制/空投
实战推文,1920502371119215073,Thu May 08,点赞 9,评分 8.7,今天看到binance 关于 $sxt 的公告，里面有个存三天 apr 66%的 earn活动介绍  不小心点进去earn的页面，就看到一个很神奇的现象：就是好多token的活期年化利率居然都到了50%（换句话说借贷利率更高），而且都是额外存款活动的加持，要知道作为新币 $sxt 的年化66% * 3/365  作为一个职业套利韭菜，我马上去看了这些币的合约，一看基本都是负费率，大意就是：你去借币卖掉之后，同时开多仓 （因为是负费率，所以你每x个小时可以吃费率）   但是这里面有一个特别亮眼的存在，就是 $sign （除了logo很醒目之外），因为他的活期年化达到了 31%， 然而它的合约的资金费率居然是整的：即多仓给空仓  那这些人顶着这么高的借贷利率（而且已经售罄）借 $sign 是为了干嘛呢？ 是开多仓嘛？ 还是看空，单纯卖掉？还是拿去质押？ 还是去其他交易所套利？还是有什么不可告人的秘密.....   与之后续如何，请听下回分解  ps: 利益相关，我有 $sign 的仓位 pps:  @ethsign 没给我广告费
实战推文,2029516373777637552,Thu Mar 05,点赞 6,评分 8.2,"如果说经济制裁是导火索，那么腐败到家的制度才是根本原因  给大家猜猜伊朗🇮🇷境内在高峰期内国内对美元汇率多少种汇率？  直接说答案吧：8个  不同的事务对应不同的汇率…  这种巨大的官方汇率与黑市汇率之间的差额，构成了人类经济史上罕见的制度化套利空间。在2024年初，NIMA汇率与黑市汇率之间的差距高达52%，这意味着任何被迫在NIMA系统中结汇的出口商，其实质上被剥夺了一半以上的资产价值。  相反，拥有政府高层人脉、隶属于伊斯兰革命卫队（IRGC）的准国营企业或特权寡头，可以轻易通过虚报进口发票（例如谎称进口救命药品或工业机械），以极低的优惠汇率（如280,000里亚尔）从央行骗取数以亿计的美元外汇。  随后，这些企业根本不进行任何实体货物的进口，而是直接将这些美元拿到黑市上以1,600,000里亚尔的市价抛售，瞬间攫取高达数倍的无风险暴利。  这种汇率双轨制和Trade Misinvoicing正是导致伊朗实体经济严重贫血的根源。  据伊朗议会经济委员会成员Hossein Samsami披露的数据，从2018年至2025年中期，竟然有高达950亿美元的非石油出口收入“从未返回过伊朗”。  央行数据显示2018至2024年间约800亿美元通过外贸渠道流失，而私营部门仅占外贸总额的15%，那剩下的85%去了哪里？！"
实战推文,2067672514482864516,Thu Jun 18,点赞 18,评分 7.4,这不就巧了么？！说到合规套利，鄙人之前写过一篇《加密世界的合规进化论》  这篇文基本把ico时期到genius/clarity的合规演进路程系统性写了一遍  合规套利跟地理套利一样，会一直存续下去（冷知识：即使一个国家内的不同部门的文/规定都会有冲突（你看看芝加哥交易所这几天干了啥）都会打架，都能套利，更别说不同管辖权之间）  而且随着参与的博弈与利益越来越多，这种套利只会更多（套利不是贬义词，是让资源效率最大化的手段）cex defi dex就是在这样的背景下诞生的  而主流大媒体为什么一直抓着bn（其实bitget bybit 也不少啦），因为有流量啊～ 为什么监管老追着打，因为bn真有钱，而且愿意交罚款啊，这样的话一波kpi直接打满好吧，不信你去看把cz按进去的检察官的履历是怎么写的  由于实在是太长（近2w字）发在了substack，有兴趣的可以去看下  https://t.co/xBSUqXc0Lu  我知道 bn最近很忙，没时间发文 网友们也不嫌事大 而我恰好bn和ok都没给我发钱，利益刚好不相关 而这篇文的角度就是一个第三方叙事+故事的角度，还算比较客观  发出来当成是学习讨论～  现在的问题是直接一篇发？还是分上下两篇呢？🤣
实战推文,1943220890566824143,Thu Jul 10,点赞 6,评分 8.5,$pump 这波好玩了 开盘五小时，hyperliquid上的funding rate已经干到年化900%+ 了 （多仓给空仓）， 30m的OI  市场的看多情绪很可以啊 （ $pump 的预售价是 $0.004，市场价是0.0052 左右，涨了30%左右）  真是有趣，虽然twitter中文上看衰/空的消息比较多，但是市场博弈的时候却是另一番景象 （阻止欧美用户参与也可能是其中一个推动pre tge market上涨的原因）   另外要参与这个资金费率套利的小伙伴也注意下，因为pump还没开始正式交易，目前的oracle喂价是根据HI场内平均标记价格来计算的。容易被大鲸鱼操纵，大家自行判断风险。
实战推文,1996460679088492921,Thu Dec 04,点赞 52,评分 8.3,这几天在dubai 听到了好多对 @Aster_DEX 的赞誉之词，秉持着吃人嘴短的原则，我来“黑下”这个被誉为bn 二创的perp dex，为此我还专门写过 perp dex的“去泡沫”逻辑  perp是一个人吃人的地方，这里没有天道酬勤这一说，没有阳光普照，更没有多劳多得。这里是赢家通吃，聪明钱干完所有  你要做的是养蛊，创造一个机制和环境来激发这些pvp  拜托，不要再作什么刷量激励了，这种小白都能做的事情的逻辑是 刷量收益 > 刷量成本就行，这个是付费劳动，这个不是交易  具体怎么制造这种激励环境： 举个很简单的例子，试试看错开与HL的资金费率阶段时间，试试看半点结算而不是整点结算，用不同的时间差创造套利窗口  perp dex特么是养蛊，不是养老  你前期给出去的token是要来激发交易员的贪心和不甘心的  就先写这么点，长文里细节
实战推文,2092977975453221044,Thu Aug 27,点赞 12,评分 8.6,有小伙伴看到我昨天发的substack(https://t.co/mSgHgx94iM) 里面有个小章节说了 @PythNetwork 和 @chainlink 在stock perp的“统治地位”，以及为什么cex主要用 solana:HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3 而不是 ethereum:0x514910771af9ca656af840dff83e8264ecf986ca   然后就给我发了一个CME的文件，看完后对pyth 的后续发展感觉一阵发凉啊。。  CME是谁呢？你可以粗暴地理解成它是“全球期货市场的一台发动机“  - 它是全球最大的期货和衍生品交易品台，基本上大家知道的期货数据都是它供给大家的，什么原油，大豆，英伟达，QQQ 、期权 等等都是它家的data  然后这次它这个market data的规定主要就是针对：不能把数据商业化，aka 不能包装完之后转卖给其他人  这次比较要命的是还把范围扩大到synthetic feeds（合成数据），就是说你不要以为自己拿到cme的数据之后自己混点其他的数据就能再转卖出去了。。这条路已经此路不通了，只要你获得的数据来源的其中一环有CME的数据都不行。。。  比如什么CME->Jane street —>Pyth，这个就别想了  你可以想象如果我要是那些价格预言机公司，我能咋办。。。总不能我自己编一个？现在就有点那时候twitter把kaito的api封禁的感觉。。 听到的时候感觉都要爆炸了  更要命的是什么？生效期是9月17日，不到20天的时间。。  你说有没有其他的方案，那肯定是有的，就是这么短时间，估计pyth 和chainlink 这段时间会忙到飞起，见人见到喉咙冒烟  这个事情其实也从侧面看出， @okx 在战略布局上确实有一手啊。。 @star_okx 你这个可以啊。。。   原文链接： https://t.co/qX9V89FA8Y
