推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
1937511569103172043,2025-06-24 14:02:09,B,34,25,2,126199,"今天发现一个很神奇很屌的etf， $CONY
这个是coin的期权收益etf，股息率居然132%.
我自己玩不明天期权，买了点让这个自己操作，我月月分红，大不了给我全亏完😂.
干了9万股死了算了，你们别学我，这个风险太大了. https://t.co/w3On4YaIXs",https://x.com/xiaomustock/status/1937511569103172043
2022222810039693500,2026-02-13 08:14:23,B,31,108,8,90842,"马斯克虽然是首富，但他的特斯拉和xai的现金流应该是maga7里面最差的，这就是为啥要让spacex上市，然后让市场惊掉下巴合并xai.
不然ai这个游戏马斯克的xai玩不下去. https://t.co/fmveRT5z9c",https://x.com/xiaomustock/status/2022222810039693500
1766404358479221240,2024-03-09 10:03:11,B,30,139,16,88797,"买了祖传5万u的pixel，目标价1.5u
1.量能起来了，即将突破。
https://t.co/EUVwwX9qgT在线人数一直在增加 https://t.co/IiC1pLjWrH",https://x.com/xiaomustock/status/1766404358479221240
1701781643093033097,2023-09-13 02:15:35,B,30,30,1,16841,有好的想法，思路，策略大家互相交流，过时了也没关系，很多五花八门的策略和思维方式真可以大开眼界和突破思维牢笼，还会值得人细细回想，这样搞居然也很赚钱。丢掉自己的固执，多多交流！我很讨厌开大会搞那种虚头巴脑的会议，但是如果去面基几个没见过面的币友，听听他们赚钱的方法和亏钱经历，我每次都觉得受益匪浅不虚此行。,https://x.com/xiaomustock/status/1701781643093033097
2055362047324336305,2026-05-15 18:57:53,B,29,143,14,80863,"翻了一下，同类型美国本土的气体公司垄断者是 $APD 
业绩也相当不错。
他们产品的共同特点都是不可能被AI替代，但又是各行各业包括AI的必备品。 https://t.co/fc5momHzwP",https://x.com/xiaomustock/status/2055362047324336305
2022333222525534475,2026-02-13 15:33:08,B,29,40,3,33427,"Claude准备今年上市，
这些AI巨头烧钱烧的猛越好，烧的家底空了就都乖乖上市了，
最好openai和字节都把现金流烧干净，再透支一波大的，实在没办法去股票市场融资，那我们就都有机会买他们股票了. https://t.co/1dvpsxPRqY",https://x.com/xiaomustock/status/2022333222525534475
2057058579065041289,2026-05-20 11:19:18,B,25,192,11,241729,"AI大规模落地需要突破的俩个方向，
Agent智能体，物理AI。
前景十分广阔，
其他方向都微不足道。",https://x.com/xiaomustock/status/2057058579065041289
1957338206523019641,2025-08-18 07:06:08,B,25,40,3,76310,"影石今天又来个20cm，带动迅雷夜盘也拉了20%.
慢就是快，买点长期有点价值的睡觉睡得香，
很多人曾经炒币被迅雷的玩客云噶了，
有历史原因，那个时代第一个干这种事情需要承担无法想象的压力，牢狱之灾等等.
毕竟是国内公司.
在网速不是那么快的十年前，基本上人人都用迅雷下载东西. https://t.co/IFMIaz2MjS",https://x.com/xiaomustock/status/1957338206523019641
1980931330780356780,2025-10-22 09:36:47,B,24,87,3,45188,"卖了10万直接把bynd盘前卖瀑布了😂太他娘的脆弱.
朋友说他买点会不会瀑布，我8.2去卖了一发直接崩了😂笑死. https://t.co/cvVZM7qSjv",https://x.com/xiaomustock/status/1980931330780356780
2018605294629380367,2026-02-03 08:39:40,C,19,67,3,45453,"国内互联网和ai股有个跟美区的区别是，卷和穷，即使做到国内垄断也很难能获得付费.
微薄的利润跟税率关系很大，
国内这边爆赚的上市公司几乎都是做美区ai巨头生意的.
个人的情感希望祖国更强大ai能追平美区，
但赚钱还是得搞做美国佬生意的国内股票或者直接买美国佬的股票或者指数😂.",https://x.com/xiaomustock/status/2018605294629380367
2046145063840067866,2026-04-20 08:32:53,C,19,43,4,57189,多晶硅爆拉，垄断全球的光伏，大部分公司还亏钱。国家层面再次出手对光伏行业反内卷治理。 https://t.co/avwWG72LpY,https://x.com/xiaomustock/status/2046145063840067866
2022226588558049367,2026-02-13 08:29:24,C,17,10,1,3732,@yuanyuankan 如果能看见未来，为啥不舍得花钱投入，还不是因为没有啥现金流，所以特斯拉仅投了200,https://x.com/xiaomustock/status/2022226588558049367
1734540383894307297,2023-12-12 11:47:08,C,16,61,9,135202,看看sats的最佳买点是不是在结算周期时间点，还是说开盘一直涨？😂,https://x.com/xiaomustock/status/1734540383894307297
1691078383713865728,2023-08-14 13:24:40,C,14,14,0,9105,目前什么币都没有，全是u，等行情大波动来了再操作，ok的资金买点鲨鱼鳍理财体验一下，买了2/3的跌，买了1/3的涨。观察观察结束的年化收益 https://t.co/fzBQPfPOPp,https://x.com/xiaomustock/status/1691078383713865728
1655544769873866753,2023-05-08 12:06:46,C,14,5,1,2642,今天属于全麻状态，整个人被打了麻药，又他娘的被打了全身兴奋剂😂piza披萨，最坚挺的就是它，另外noot持币地址也非常多，零也非常多，建议你们都买点 https://t.co/aVAhW3tP4q,https://x.com/xiaomustock/status/1655544769873866753
1654752856732311553,2023-05-06 07:39:59,C,14,4,1,1386,"ordi9.9了，马上突破十元大关
piza0.99了，马上突破一元大关 https://t.co/DWdjGXdFXX",https://x.com/xiaomustock/status/1654752856732311553
1691123084940738560,2023-08-14 16:22:17,C,13,12,0,16051,有点利好，搞分红持币，平头哥badger，所以买了一点碰运气 https://t.co/tzUvwdhpn2,https://x.com/xiaomustock/status/1691123084940738560
1656189048749211649,2023-05-10 06:46:54,C,10,3,0,1989,gmgn不买点吗 https://t.co/Q6fU1OZgfC,https://x.com/xiaomustock/status/1656189048749211649
2074800057262702658,2026-07-08 10:17:36,C,8,14,0,14981,@dabai00001 @Gate @jheioff 那也不可能把谷歌验证也拿到突破了啊,https://x.com/xiaomustock/status/2074800057262702658
1940064514902565058,2025-07-01 15:06:39,C,4,5,0,5050,@ChainTrust0103 今天大票也集体跌，太惨了，高股息养老的股票都涨的牛今天.,https://x.com/xiaomustock/status/1940064514902565058
1957353379438715304,2025-08-18 08:06:26,C,0,1,0,3841,@phyrexni @Jvesunwen 老表问问他们有没有分红计划😂,https://x.com/xiaomustock/status/1957353379438715304
