推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
1958806977725042923,2025-08-22 08:22:31,A,53,173,41,161553,"记录一下最近玩大a期权的心得.
1.a股期权远期比如现在8月，其他月9月啥的远期期权，时间成本很高利润很低不划算避坑.
2.玩末日期权临近交割日前几天这种（10天内最好），
时间成本极低，用几万块钱赌大a各种指数比如科创50，创业板，上证50，沪深300这些即将归零的涨2%-5%的归零期权，
1000张成本可能就几万块钱，虚值变成实值能直接变成几十万.
3.日内时机选择上，可以挑早盘高开暴跌，或者开盘即暴跌后，再接入这些即将归零的虚值期权，运气好当日翻倍.
4.交割日前清仓，不然会被真实交割或者虚值的话会仓位归零.

5.大a的期权依然是极致的赌，所以以小搏大，不能以大博小.控制贪念. 前几天100亏成40，就是买的成本价极高，利润不多亏起来直接腰斩.下个月一定管住自己的手，挑贼便宜的归零货以小搏大.

没任何投资建议，仅为心得纪录🙏",https://x.com/xiaomustock/status/1958806977725042923
2052673473583943883,2026-05-08 08:54:27,A,53,151,19,115410,"$FLNC 盘前快21美金，国内储能今天暴跌。
美区的数据中心必须搭配储能才行，云厂商之前被政府集体谈话又不能直接用电网的电，只能自行解决，他们是用涡轮机和新能源发电不够稳定，所以储能后稳定输出是以后美区AI数据中心的标配。
这么个小市值又有真实业绩的股票不多，
不过千万别多买，300亿美金以下的股票都不值得上大仓位买。只能当彩票。",https://x.com/xiaomustock/status/2052673473583943883
2054392763567706509,2026-05-13 02:46:18,A,52,1134,145,677198,"加仓了 #湖南裕能 ，#天华新能 
俩个储能股，第二大仓位。
赌跟去年的新易盛一样。
一年时间70拉到700。 https://t.co/QfM4qVf9cz",https://x.com/xiaomustock/status/2054392763567706509
1898078110161207807,2025-03-07 18:27:40,A,52,554,34,379273,"到现在为止我的花呗也用不了。不过再也不需要用了。
我那时候亏完也很沮丧，
回家路上，
我坐在我姐的电瓶车后座问她：
姐你相信我还你再赚回来吗？
我姐回我说：我信！
回家就把所有攒的工资给我还网贷。
她也刚毕业工作俩年，当月工资3000多块钱，只给自己留了个饭钱，别的都给我了。
后面真赚回来了！
托我姐吉言，
感激我姐一辈子。

一次次亏完最大的教训就是赚钱一定要套现；
资金一定要分散，
不要给自己一股脑冲动全部梭哈掉的机会和可能性；
该买的东西房子车子别在乎贬值，买。亏完了能换钱，冲动的时候卖不掉。
另外，亏完了你最宝贵的东西是生命，别放弃，想一切办法上岸回归正常生活。
ai很发达，说不定能教你很多实用赚钱的方法。",https://x.com/xiaomustock/status/1898078110161207807
1820719692308492404,2024-08-06 07:12:56,A,48,2417,892,438410,继续温习一遍提醒自己，巴菲特1998年讲的高智商人才管理的长期资本崩溃。 https://t.co/5wYIElHVJB,https://x.com/xiaomustock/status/1820719692308492404
2082092997622280410,2026-07-28 13:17:08,A,48,0,0,0,"看到一句话，
人类往往高估了一年内的变化，
同时也低估了10年后的变化。
最近亏到迷茫和自我怀疑，
存储真是盈亏同源的一波，
今年赚钱是因为存储，
亏钱还是因为存储。
巴菲特真是太牛逼，
他能在资本市场活这么久，肉体也能活这么久，跟他没杠杆，一直没满仓的操作风格肯定多少有关系，像我们普通人可能为了暴富上杠杆焦虑得睡不着觉，或者富了以后一直带杠杆亏盈都焦虑。
看他公司股价历史也无数次腰斩过，
但过几年还是能不断新高。
亏成这样，事已至此，
我在想以后我应该以什么样心态炒股票，
我应该以什么样眼光再看待未来，
去年的时候跟朋友一起抄底过300左右联合健康，拿了小半年毫无反应跑了，最近每次想到巴菲特的时候都想起来他在任时候最后也抄了联合健康，再去看的时候已经400多。什么样的心态才能做到他这种耐心愿意等待非常久获得收益。
对我们散户青春宝贵，
每次大幅回撤我都有一种时间的蹉跎感，
即使以后涨回来，除了劫后余生的轻松，
我总感觉有一部分的我在承受亏损的过程中死了，少了少年气。
但巴菲特面对回撤暴跌可能是真的兴奋，他的闲置仓位太多了全是货币资金，可能闲钱足够多就是他耐心和长寿的主因。",https://x.com/xiaomustock/status/2082092997622280410
2059682105831936464,2026-05-27 17:04:15,A,47,241,11,194178,"段永平这是被小姑娘洗脑了，
什么泡泡马特王宁比乔布斯还厉害？？？？
这是一个可以量化的对公司对老板的评价？
这不是马屁么？
你要看好，觉得看懂了就写个12345，
而不是打嘴炮。
举牌显然是市场不买单附加小女友可能跟他梭哈套住了，段永平打肿脸充胖子硬加仓拖住股价拖到举牌了。
现在每天泡泡马特交易量都只有20多亿，
段永平买走117亿，说明这段时间买盘很可能就他一个，相当于连续5天就他一个人买才能买这么多。
段永平之前的思想看看挺不错，这搞泡泡马特没几个人觉得是他真懂了。",https://x.com/xiaomustock/status/2059682105831936464
2025104127257452815,2026-02-21 07:03:43,A,46,80,14,35074,"这篇不仅是对去年的总结也是过去很多年的感悟，如果能眼光卓著，发现最新的AI抽水机干进去捏住，等“AI抽水机”股变化继续换进去，估计老表们能每年持续获得远超巴菲特的投资收益。
以后的想法就很单纯，上帝视角找这种类型的股票。伟大的机会应该显而易见所以也很简单，因为他们赚钱了所有AI公司的钱，那么业绩利润会很明显，各个公司的成本支出增加项也会很明显，去繁从简。",https://x.com/xiaomustock/status/2025104127257452815
2062970383930671336,2026-06-05 18:50:42,A,44,832,43,256543,"今天亏成这逼样才体会到
巴菲特的真正牛逼之处，
拿着巨额现金几年忍住不买，我们可能三五天都受不住。
拿着股票几十年不卖，我们拿三五个月可能已经是上限。 https://t.co/AGnKdjIc2m",https://x.com/xiaomustock/status/2062970383930671336
2071962108586344859,2026-06-30 14:20:36,A,44,355,18,154053,"这些千亿级别的大市值股票还有个好处，趋势确立会有源源不断的机构和指数加仓猛干，形成合力，而且他们几乎不会随意操作，会拿非常久。指数调整的周期特别长，
散户购买指数都会被动买入。
也不存在小票被大户或者kol或者公司管理层操纵涨跌的情况，没有散户互割踩踏。
也能上大仓位。
持仓体验大部分非常舒服。",https://x.com/xiaomustock/status/2071962108586344859
1700742087933911169,2023-09-10 05:24:46,A,44,29,1,15443,"炒币如果考虑别人的看法，怎么做都不可能对。
1.只说买了啥不发买入图：肯定10u仓位瞎几把喊单。
2.只发买入图，不发卖出：肯定涨了偷偷割韭菜。
3.发了买入图，盈利位置发卖出图：看，就是涨起来了割韭菜。
3.发了买入图，盈利了没卖怕别人跟着买了砸他们盘亏钱卖：看吧，我就知道它是菜逼，就是因为他没卖所以我也没卖亏钱了。
4.买卖的时候都没有发图，盈利的时候发买卖记录：看吧，我就知道这个逼是马后炮。
5.发了买入图盈利没有卖，亏钱了也没卖：我就说他菜逼，垃圾行情赚钱还不跑。

所以别天天问我买了没有卖了没有，我其实对亏盈不太在乎，多几万u少几万u对我没啥影响。除了小号我非常在乎😂所有都是个人操作记录，你们非要找本抄袭，我也累呐老表们。",https://x.com/xiaomustock/status/1700742087933911169
1725416911050281263,2023-11-17 07:33:42,A,41,162,31,56661,跟币圈也一样，没亏完之前，币圈老鸟怎么给他说别把钱全拿来玩合约全拿来炒币，都不会听。甚至亏完一次俩次都不会醒悟，可能第三次才能痛彻心扉，戒掉合约。小资金翻身一个靠链上，一个需要在杠杆上严格的仓位配比和严格的止盈止损纪律，才有一丝丝机会，能一直活下去并把资金做大。 https://t.co/xOOii4DFUh,https://x.com/xiaomustock/status/1725416911050281263
2055519987528249508,2026-05-16 05:25:29,A,41,96,6,46670,"巴菲特的伯克希尔换ceo后首份13F持仓文件，显示继续加仓了谷歌 $GOOG  ，清仓了巴菲特去年任期刚买的联合健康 $UNH 。

没啥值得蒸馏的信息，只能总结说是重点加仓了云厂商谷歌，大幅减持清仓了小股，继续囤积了创纪录的现金3973亿美金。 https://t.co/oTivX8xj9N",https://x.com/xiaomustock/status/2055519987528249508
1792044141360365600,2024-05-19 04:06:32,A,41,45,4,31758,"摘自朋友圈：
下跌趋势，15%首付买房子什么概念？意味着你需要本金开6.6倍杠杆去买房子。房价下跌超过15%你就穿仓了，穿仓大概率还不能平价止损，不一定有对手盘流动性给你平仓。后续亏损状态你需要一直付融资利息，一直付到你付不起以后强制破产，穿仓部分变成固定债务。然而这些从一开始用买房会产生的一小部分融资利息，就可以解决租房问题了。毕竟生老病死、人什么也带不走的，而且还是70年产权。顺其自然，有钱买着玩就买，过于艰难就不要碰了。",https://x.com/xiaomustock/status/1792044141360365600
2053736108450566475,2026-05-11 07:16:59,A,40,546,46,124930,openai辞退的00后过几天会公示他基金的持仓操作，这个在全球都很热，他的新建仓位可能会被市场快速拉起来。算是一个值得等着看的机会。 https://t.co/TSOssbEPTH,https://x.com/xiaomustock/status/2053736108450566475
1770690403458797801,2024-03-21 05:54:24,A,40,499,56,622417,"今年的推特都是蹭热点的哈，那就来写点有价值的，俩天后出，写三篇最近几个月的思考，码字不容易，想看的加个书签。
1.《如何通过多指标：跌幅，市值，期现交易量，来选币提高命中率》
2.《如何从概率学上管理仓位配比，确保收益率。》
3.《大资金在币圈如何多途径零风险套利稳定获取年化30%收益》",https://x.com/xiaomustock/status/1770690403458797801
2066832061617545586,2026-06-16 10:35:38,A,40,493,43,181808,"存储是AI革命的终极正解。
其他股票对比起来，真是一坨垃圾。
天壤之别。
大仓位一定要拿着存储，捏住🤏AI的俩个蛋蛋。 https://t.co/RqIXYKvQNH",https://x.com/xiaomustock/status/2066832061617545586
1910752481908576464,2025-04-11 17:51:06,A,40,473,23,190681,"我没有心结了，四天前干到了110万刀回撤剩75.再次干回来100万刀收益.
准备新号了.
明天套现，继续开一个1万u新号.
一个月来一下😂以小搏大. https://t.co/0igY8r9TQi",https://x.com/xiaomustock/status/1910752481908576464
1899712660859727922,2025-03-12 06:42:47,A,40,262,43,342146,"简简单单9天1万变10万多，
绝对切实可行的好策略，专门空垃圾币和所有交易所上的新币，止损挂市价止损防止没成交. https://t.co/IuN2KNe6Iq",https://x.com/xiaomustock/status/1899712660859727922
1983053910085656839,2025-10-28 06:11:10,A,40,261,25,207132,"屌爆了deepseek，其他一有波动巨幅回撤或者快归零了，deepseek稳稳的翻倍还保持着1.1万刀的利润.
交易这块deepseek真是吊打全球ai模型. https://t.co/nAiO47edfb",https://x.com/xiaomustock/status/1983053910085656839
1946078982857699838,2025-07-18 05:26:00,B,38,114,23,116072,"$ASPI 这个股票越看越觉得牛，我打算梭哈到500万刀.等业绩兑现俩年涨个十倍知足.

有盖茨十年买断订单背书，有产能，业务又是量子计算，同位素癌症医疗，核燃料供应，都是非常有想象力的行业方向.
aspi的硅-28纯度99.99%他的产能非常高，对应量子计算，
核燃料产能，2027年产15吨，远超leu， https://t.co/oCHHXNoBFu",https://x.com/xiaomustock/status/1946078982857699838
1924347680257650811,2025-05-19 06:13:34,B,37,292,37,241955,"很多时候人就是太急躁急于赚钱导致亏大钱.
或者盈利后贪欲过重导致巨额回撤.
没耐心等待自己熟悉的套路来搞钱.",https://x.com/xiaomustock/status/1924347680257650811
1729498729844261222,2023-11-28 13:53:24,B,37,89,3,117900,"还是水水小作文好呐😂500u小号还在27万徘徊，前几天买太多回撤太大了，今天终于打回来了。
等我再把这个500u小号打到50万美金，然后再完整录屏一次。
小号追求更稳的操作，增长起来搞起来成就感满满😀 https://t.co/AabxWaqcO1",https://x.com/xiaomustock/status/1729498729844261222
2075596586986754131,2026-07-10 15:02:43,B,36,397,12,239015,"去年真是满大街的好机会，
当时145梭哈的3万股amd现在已经高攀不起，回想起来真是脑残呐，
去年的股票能预期业绩涨十倍股价也能十倍，
现阶段大部分AI红利涨幅被吃完了，
预期不上不下，业绩翻倍都笑死，所以股价翻倍都笑死。
只能寻找业绩还能明确有十倍以上潜力的，才可能获得十倍左右的股价涨幅。",https://x.com/xiaomustock/status/2075596586986754131
1987345068878114894,2025-11-09 02:22:42,B,36,242,21,86411,特朗普要取消医疗保险中间商，巴菲特的联合健康要被干了. https://t.co/mZ1y35wUfz,https://x.com/xiaomustock/status/1987345068878114894
1973423545654059437,2025-10-01 16:23:32,B,36,213,27,187180,"辉瑞绝壁能买能拉个大的，
我梭哈了14万股.
1.价格相对底部，其实没怎么拉过盘一直.
2.市盈率低的可怜14
3.美政府免关税. https://t.co/TQMAehDHyu",https://x.com/xiaomustock/status/1973423545654059437
1976792840069169404,2025-10-10 23:31:54,B,36,208,34,116913,"usde币安杠杆循环贷理财今晚送走了太多大户……..几m，十几m数不过来.
我不敢发图，教训太深刻了他娘的，
资金一定再分散分散，活下去比啥都重要. https://t.co/Pl5DjhPzV3",https://x.com/xiaomustock/status/1976792840069169404
1921992834321707085,2025-05-12 18:16:15,B,35,89,9,120688,"用仓位主动验证自己的判断，空了整个meme板块.
炒币本身就是赌，亏钱赚钱都很正常，
希望能把今天回撤的几十万刀撸回来😭😭😭
难呐 https://t.co/iLpeZFxPsM",https://x.com/xiaomustock/status/1921992834321707085
1978158397523370372,2025-10-14 17:58:09,B,33,93,16,30607,美国锑矿公司 $NVA 获得国防部投资4340万美金，值得注意的这家公司也是巴菲特持股. https://t.co/O0OZr4TBJQ,https://x.com/xiaomustock/status/1978158397523370372
2075474657634095577,2026-07-10 06:58:13,B,32,424,16,308348,"密切关注峰哥操作
割肉暴涨，
梭哈暴跌，
希望他今天就割肉，周一暴涨成全大家 https://t.co/6j7pS0RsL1",https://x.com/xiaomustock/status/2075474657634095577
2047506190352208211,2026-04-24 02:41:31,B,32,252,25,197814,通富微电是amd的封测厂，跟美区这波cpu行情最相关的股票。 https://t.co/igknhiQ8pi,https://x.com/xiaomustock/status/2047506190352208211
1906240590993346697,2025-03-30 07:02:27,B,32,47,2,151760,"这个止损的想法记录一下，因为单个做空性价比不高，最大只能赚到做空金额的钱.
所以止损肯定不能让涨幅超过做空价的100%，不然盈亏比就对不上了.
单个出现亏个50%割肉，应该没毛病.
不过我还没设置止损，太多了不好搞😂

止盈估计跌个50%也比较好，我是看心情止盈🤡没固定计划.",https://x.com/xiaomustock/status/1906240590993346697
1730868332583416207,2023-12-02 08:35:43,B,31,85,4,183385,给500u小号p图p了32.7万u，全靠gft和rune这俩个p图的。原本回撤到27，又p回32.7wu了😀gft没了 https://t.co/EzYgAVGhTT,https://x.com/xiaomustock/status/1730868332583416207
2046115109089706189,2026-04-20 06:33:51,B,30,166,22,168008,"上周五尾盘群友说群核科技也是物理ai，顺手买了，刚睡醒一看卧槽快拉了100%😂
32.3出了个本金，留了利润。 https://t.co/ZdRwGcxfOr",https://x.com/xiaomustock/status/2046115109089706189
2049166296412307908,2026-04-28 16:38:11,B,30,85,4,40677,"昨天这个曦智科技本来ipo前计划梭哈一下像群核一样。
但是你100多ipo开盘800块，梭几把梭，
傻逼才梭，直接ipo的清仓走人。
港股单股价高于800的都没几个，
市值已经800亿，对于这种还处于纯空气阶段的股票，梭他我还不如minimax。
毫无性价比，涨到天上我都不眼红800港币买的人。 https://t.co/e95s0MeYxF",https://x.com/xiaomustock/status/2049166296412307908
2050281339174187311,2026-05-01 18:28:58,B,29,72,4,31049,"值得注意的一件事，
美区时间5.2号伯克希尔第一次由阿贝尔开股东大会，手握几千亿美金，他对行业和公司的看法会主导这几千亿美金的取向。
可能有点投资机会透露。
95岁的巴菲特本人也会出席。 https://t.co/O8o9IAkXpd",https://x.com/xiaomustock/status/2050281339174187311
1720468061525037438,2023-11-03 15:48:45,B,29,30,5,40882,现在sushi符合强买入（弱一级，在量能上整体，但是在这种大市值的币中已经很强很强了），绝对可以连续爆拉的好币，起来了。上一个符合的是gas，但是暴跌止损2.9把我打下车了。我继续追了5万u的sushi，今天就cake没赚钱，币安系是不是不行😂 https://t.co/0FmbCW5Bpw,https://x.com/xiaomustock/status/1720468061525037438
2062776648634691934,2026-06-05 06:00:52,B,27,357,2,121940,"仓位不大今天都亏到自闭，
不说话了。
沉浸式打游戏😂",https://x.com/xiaomustock/status/2062776648634691934
2062940225467277401,2026-06-05 16:50:51,B,27,171,0,80243,"今天应该没有赚钱的吧，
巴菲特今天也得脱层皮 https://t.co/IeEdnVsihL",https://x.com/xiaomustock/status/2062940225467277401
2022588165677289559,2026-02-14 08:26:11,B,27,171,14,134744,"MIniMax M2.5刚发布迅速占领openrouter调用榜首，是第2/3/4调用量的总和.
前五名目前只有gemini3是美区模型.
其他均为大陆大模型. https://t.co/FRoVfkIbvs",https://x.com/xiaomustock/status/2022588165677289559
1990265769612243251,2025-11-17 03:48:31,B,26,84,4,74515,巴菲特的谢幕交易，大手笔建仓了43亿美金的谷歌 $GOOL https://t.co/84JljH41t6,https://x.com/xiaomustock/status/1990265769612243251
1922631644151713893,2025-05-14 12:34:39,B,26,69,7,87724,"看了一下钱包一个月居然显示亏了110万刀，应该是rfc回撤的吧那会….
不过最近真是链上买啥亏啥 https://t.co/iAZ5xwMuvc",https://x.com/xiaomustock/status/1922631644151713893
1858778617154859172,2024-11-19 07:45:31,B,26,33,1,248454,rif会落到了0.16，我感觉它在逼我走。早晨这个钱包最高接近200万美金，现在就剩110万美金。uro回撤的我受不了走了大部分。 https://t.co/2P5Ot23lej,https://x.com/xiaomustock/status/1858778617154859172
1971103192814592038,2025-09-25 06:43:17,B,26,26,0,119197,"感谢老表们.
币安聪明钱这个昨天到今天增加了一千多个订阅，
不过没有开仓位显示，怕影响到自己情绪会变得操作畸形. https://t.co/eH952vY0DR",https://x.com/xiaomustock/status/1971103192814592038
1921779776122945748,2025-05-12 04:09:38,B,25,121,4,226418,"我喜欢发买卖记录主要是喜欢用仓位验证自己的想法.
真枪实弹的来实践，
不是光拿嘴说，
不付诸行动.
也是为了给我朋友他们信心.
我是他们的信心来源，他们也是我的信心来源.",https://x.com/xiaomustock/status/1921779776122945748
2064974351397519564,2026-06-11 07:33:45,B,24,127,2,73940,"@0xtonixie @cz_binance @heyibinance 这是舔狗证，下载个kraken源头直接打spcx也不难，沙雕币安还要收5%手续费。
币安也是从kraken拿的额度，kraken还0费",https://x.com/xiaomustock/status/2064974351397519564
1949613502701912463,2025-07-27 23:30:55,B,24,80,0,60241,"vine第一波涨到85我都没走，跌麻了6几跑了
🌚我日呐，我当时觉得创始人发的，马斯克喊，梭哈干了.
这尼玛割完肉现在翻倍了？搞心态我尼玛. https://t.co/mejDZDNWrH",https://x.com/xiaomustock/status/1949613502701912463
2034465127874052186,2026-03-19 03:00:59,B,24,72,2,135633,"梭哈了一把金山云 ， #HK3896
openrouter榜首的hunter alpha是小米的。
小米的模型真起来，金山云肯定弹性更足。 https://t.co/WWq220q4WJ",https://x.com/xiaomustock/status/2034465127874052186
2083256822560141435,2026-07-31 18:21:46,B,23,574,8,38763,"@Gate_zh 钱在你这保管丢的，
受害人不是本人操作，

那就是你保管的问题，扯再多都是借口。
非本人操作能通过你们所有安全项，就是你们风控导致的资金丢失问题。",https://x.com/xiaomustock/status/2083256822560141435
1728952206320447961,2023-11-27 01:41:43,B,23,45,2,37979,今天唯2赚钱的就ustc和bigtime，手里其他的币全部赔钱，尤其是gmt回撤太大了，早知道36跑了，造孽 https://t.co/R8O7ruJWNM,https://x.com/xiaomustock/status/1728952206320447961
1719724936842080662,2023-11-01 14:35:50,B,23,13,2,55932,"只是为了测试一下自己的想法，实际交易中根本不会去买它😅，所以错了也别喷我哈，39我会自动割肉，单纯测试一下。提前写好了

43.75触发，43.7止盈
39.1触发，39止损😀 https://t.co/zvWfJapN7E",https://x.com/xiaomustock/status/1719724936842080662
1937590452800061850,2025-06-24 19:15:37,B,22,61,7,82615,看新闻发现CRCL木头姐跑路了，当时就是看她梭哈我梭哈，不敢抄底拿了，溜了溜了. https://t.co/esKwjtQ5Ts,https://x.com/xiaomustock/status/1937590452800061850
1904498139165544957,2025-03-25 11:38:34,B,22,61,10,121360,br暴跌回撤麻了.我得扯了兄弟们🌚最高到了56万刀. https://t.co/DdCCxqMGTD,https://x.com/xiaomustock/status/1904498139165544957
